"Ethnicity","Geography","%"
"White","All","86.6"
"White","East of England","91.2"
"White","London","80.3"
"White","Midlands","86.5"
"White","North East and Yorkshire","87.7"
"White","North West","90.0"
"White","South East of England","81.4"
"White","South West of England","92.1"
"Other than White","All","8.4"
"Other than White","East of England","5.5"
"Other than White","London","17.1"
"Other than White","Midlands","9.5"
"Other than White","North East and Yorkshire","5.8"
"Other than White","North West","6.2"
"Other than White","South East of England","8.3"
"Other than White","South West of England","3.0"
"Unknown","All","5.0"
"Unknown","East of England","3.3"
"Unknown","London","2.6"
"Unknown","Midlands","4.1"
"Unknown","North East and Yorkshire","6.5"
"Unknown","North West","3.7"
"Unknown","South East of England","10.3"
"Unknown","South West of England","4.9"
