"","All","","Asian","","Black","","Mixed","","White","","Other",""
"Time","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"2012/13","37.0","9,838","43.5","394","49.7","188","47.2","171","35.9","9,054","?","22"
"2013/14","35.4","10,355","49.2","404","50.0","203","43.8","142","33.8","9,546","38.0","49"
"2014/15","34.5","9,817","49.3","367","44.9","239","49.8","99","32.9","9,050","38.9","52"
"2015/16","33.4","10,171","46.6","434","47.6","242","40.4","119","31.6","9,312","38.5","55"
"2016/17","34.0","9,352","47.7","423","44.0","242","41.6","170","32.3","8,473","?","27"
"2017/18","32.7","7,715","38.5","397","42.6","203","39.5","144","31.7","6,854","25.4","79"
