"Year","Ethnicity","Number per 100,000"
"2017/18","Asian","91.9"
"2017/18","Black","288.7"
"2017/18","Mixed","158.4"
"2017/18","White","71.8"
"2017/18","Other","180.3"
"2018/19","Asian","103.4"
"2018/19","Black","306.8"
"2018/19","Mixed","232.8"
"2018/19","White","72.9"
"2018/19","Other","173.4"
