"Ethnicity","FSM","Non-FSM"
"All","70","84"
"Asian","79","86"
"Bangladeshi","81","84"
"Indian","82","91"
"Pakistani","78","83"
"Asian other","79","87"
"Black","80","85"
"Black African","82","86"
"Black Caribbean","74","82"
"Black other","78","84"
"Chinese","87","91"
"Mixed","74","87"
"Mixed White/Asian","77","89"
"Mixed White/Black African","77","86"
"Mixed White/Black Caribbean","71","83"
"Mixed other","75","87"
"White","67","84"
"White British","67","85"
"White Irish","57","87"
"Gypsy/Roma","39","43"
"Irish Traveller","41","45"
"White other","71","82"
"Other","75","82"
"Unknown","67","62"
