"Ethnicity","NS-SEC","%","Homeowners ('000s)","All households ('000s)"
"White British","Higher managerial, administrative and professional occupations","81","6,213","7,684"
"White British","Intermediate occupations","71","2,816","3,958"
"White British","Routine and manual occupations","53","3,161","6,010"
"Other than White British","Higher managerial, administrative and professional occupations","53","868","1,629"
"Other than White British","Intermediate occupations","42","329","792"
"Other than White British","Routine and manual occupations","30","428","1,427"
