"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_Type","Geography","Geography_type","ONS_Geography_code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Hartlepool","Local authority","E06000001","Girls","All Pupils","-0.11","504","-0.22","0"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","0.5","22","-0.03","1.03"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Boys","All Pupils","-0.08","10","-0.86","0.71"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Girls","All Pupils","0.98","12","0.26","1.69"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","0.47","3","-0.96","1.9"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Girls","All Pupils","0.47","3","-0.96","1.9"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","1.16","1","-1.31","3.64"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Girls","All Pupils","1.16","1","-1.31","3.64"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","-0.31","15","-0.95","0.32"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Boys","All Pupils","-0.9","8","-1.77","-0.02"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Girls","All Pupils","0.35","7","-0.59","1.29"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","-0.5","959","-0.58","-0.42"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Boys","All Pupils","-0.85","479","-0.96","-0.74"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Girls","All Pupils","-0.15","480","-0.26","-0.03"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","-0.24","1285","-0.31","-0.17"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Middlesbrough","Local authority","E06000002","Boys","All Pupils","-0.46","647","-0.56","-0.36"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Middlesbrough","Local authority","E06000002","Girls","All Pupils","-0.02","638","-0.11","0.08"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","0.65","167","0.46","0.85"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","0.56","77","0.27","0.84"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Girls","All Pupils","0.74","90","0.48","1"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","0.6","14","-0.06","1.26"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","0.3","7","-0.63","1.24"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Girls","All Pupils","0.9","7","-0.03","1.84"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","1.45","2","-0.3","3.19"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","1.45","2","-0.3","3.19"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","0.05","41","-0.34","0.43"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","-0.08","15","-0.72","0.56"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Girls","All Pupils","0.12","26","-0.36","0.61"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","-0.36","998","-0.44","-0.28"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","-0.6","520","-0.71","-0.49"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Girls","All Pupils","-0.09","478","-0.21","0.02"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","-0.45","1494","-0.51","-0.38"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","-0.66","768","-0.75","-0.57"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Redcar and Cleveland","Local authority","E06000003","Girls","All Pupils","-0.22","726","-0.31","-0.13"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","0.71","23","0.19","1.22"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","0.49","14","-0.17","1.15"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Girls","All Pupils","1.04","9","0.21","1.86"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","0.82","2","-0.93","2.57"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","0.82","2","-0.93","2.57"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","0.5","1","-1.98","2.97"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","0.5","1","-1.98","2.97"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","-0.06","13","-0.74","0.63"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","0.24","7","-0.7","1.17"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Girls","All Pupils","-0.4","6","-1.41","0.61"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","-0.47","1446","-0.54","-0.41"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","-0.7","739","-0.79","-0.61"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Girls","All Pupils","-0.23","707","-0.33","-0.14"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","-0.08","1898","-0.14","-0.03"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","-0.24","1005","-0.32","-0.17"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","0.1","893","0.01","0.18"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","0.53","109","0.29","0.76"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","0.38","62","0.06","0.69"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","0.72","47","0.36","1.08"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","1.23","14","0.57","1.89"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","0.94","4","-0.29","2.18"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","1.34","10","0.56","2.12"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","1","5","-0.1","2.11"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","-0.75","2","-2.5","1"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","2.17","3","0.74","3.6"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","0.1","40","-0.29","0.49"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","-0.06","23","-0.57","0.46"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","0.32","17","-0.28","0.92"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","-0.14","1719","-0.2","-0.08"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","-0.3","906","-0.38","-0.22"
