"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_Type","Geography","Geography_type","ONS_Geography_code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Manchester","Local authority","E08000003","Boys","All Pupils","0.83","23","0.31","1.35"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Manchester","Local authority","E08000003","Girls","All Pupils","1.18","15","0.54","1.82"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Manchester","Local authority","E08000003","All Pupils","All Pupils","-0.19","337","-0.32","-0.05"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Manchester","Local authority","E08000003","Boys","All Pupils","-0.41","174","-0.6","-0.22"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Manchester","Local authority","E08000003","Girls","All Pupils","0.05","163","-0.14","0.24"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Manchester","Local authority","E08000003","All Pupils","All Pupils","-0.52","1988","-0.58","-0.47"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Manchester","Local authority","E08000003","Boys","All Pupils","-0.72","998","-0.8","-0.64"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Manchester","Local authority","E08000003","Girls","All Pupils","-0.32","990","-0.4","-0.24"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Oldham","Local authority","E08000004","All Pupils","All Pupils","-0.3","2801","-0.35","-0.25"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Oldham","Local authority","E08000004","Boys","All Pupils","-0.67","1420","-0.73","-0.6"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Oldham","Local authority","E08000004","Girls","All Pupils","0.08","1381","0.01","0.14"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","All Pupils","All Pupils","0.07","858","-0.01","0.15"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","Boys","All Pupils","-0.37","415","-0.49","-0.25"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","Girls","All Pupils","0.48","443","0.36","0.6"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","All Pupils","All Pupils","0.26","46","-0.11","0.62"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","Boys","All Pupils","-0.27","18","-0.85","0.31"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","Girls","All Pupils","0.59","28","0.12","1.06"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","All Pupils","All Pupils","1.5","7","0.56","2.43"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","Boys","All Pupils","0.62","2","-1.13","2.37"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","Girls","All Pupils","1.85","5","0.74","2.95"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","All Pupils","All Pupils","-0.58","97","-0.83","-0.33"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","Boys","All Pupils","-0.86","54","-1.2","-0.53"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","Girls","All Pupils","-0.22","43","-0.6","0.15"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","All Pupils","All Pupils","-0.47","1727","-0.53","-0.41"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","Boys","All Pupils","-0.79","894","-0.87","-0.71"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Oldham","Local authority","E08000004","Girls","All Pupils","-0.14","833","-0.22","-0.05"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Rochdale","Local authority","E08000005","All Pupils","All Pupils","-0.14","2140","-0.19","-0.09"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Rochdale","Local authority","E08000005","Boys","All Pupils","-0.37","1094","-0.45","-0.3"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Rochdale","Local authority","E08000005","Girls","All Pupils","0.1","1046","0.02","0.18"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","All Pupils","All Pupils","0.26","582","0.16","0.36"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","Boys","All Pupils","-0.07","287","-0.22","0.08"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","Girls","All Pupils","0.58","295","0.44","0.73"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","All Pupils","All Pupils","0.13","52","-0.22","0.47"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","Boys","All Pupils","-0.4","25","-0.9","0.09"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","Girls","All Pupils","0.62","27","0.14","1.09"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","All Pupils","All Pupils","1.04","8","0.17","1.92"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","Boys","All Pupils","0.04","4","-1.19","1.28"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","Girls","All Pupils","2.04","4","0.8","3.27"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","All Pupils","All Pupils","-0.08","63","-0.39","0.23"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","Boys","All Pupils","-0.45","34","-0.88","-0.03"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","Girls","All Pupils","0.36","29","-0.1","0.81"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","All Pupils","All Pupils","-0.33","1405","-0.4","-0.27"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","Boys","All Pupils","-0.49","728","-0.58","-0.4"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Rochdale","Local authority","E08000005","Girls","All Pupils","-0.16","677","-0.26","-0.07"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Salford","Local authority","E08000006","All Pupils","All Pupils","-0.46","1958","-0.52","-0.41"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Salford","Local authority","E08000006","Boys","All Pupils","-0.78","965","-0.86","-0.7"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Salford","Local authority","E08000006","Girls","All Pupils","-0.15","993","-0.23","-0.08"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","All Pupils","All Pupils","0.64","39","0.24","1.04"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","Boys","All Pupils","0.48","23","-0.04","0.99"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","Girls","All Pupils","0.88","16","0.26","1.5"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","All Pupils","All Pupils","0.32","57","-0.01","0.64"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","Boys","All Pupils","-0.14","28","-0.61","0.32"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","Girls","All Pupils","0.76","29","0.3","1.22"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","All Pupils","All Pupils","-0.08","4","-1.32","1.15"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","Girls","All Pupils","-0.08","4","-1.32","1.15"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","All Pupils","All Pupils","-0.02","87","-0.28","0.25"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","Boys","All Pupils","-0.17","42","-0.56","0.21"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","Girls","All Pupils","0.13","45","-0.24","0.5"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","All Pupils","All Pupils","-0.56","1727","-0.62","-0.5"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","Boys","All Pupils","-0.9","847","-0.99","-0.82"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Salford","Local authority","E08000006","Girls","All Pupils","-0.23","880","-0.32","-0.15"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Stockport","Local authority","E08000007","All Pupils","All Pupils","-0.03","2517","-0.07","0.02"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Stockport","Local authority","E08000007","Boys","All Pupils","-0.28","1290","-0.35","-0.21"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Stockport","Local authority","E08000007","Girls","All Pupils","0.25","1227","0.17","0.32"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","All Pupils","All Pupils","0.59","136","0.37","0.8"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","Boys","All Pupils","0.15","71","-0.14","0.44"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","Girls","All Pupils","1.06","65","0.75","1.37"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","All Pupils","All Pupils","0.22","26","-0.26","0.71"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","Boys","All Pupils","0.03","17","-0.57","0.63"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","Girls","All Pupils","0.59","9","-0.24","1.41"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","All Pupils","All Pupils","0.81","14","0.15","1.47"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","Boys","All Pupils","0.7","9","-0.13","1.52"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","Girls","All Pupils","1.01","5","-0.09","2.12"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","All Pupils","All Pupils","0.04","106","-0.2","0.28"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","Boys","All Pupils","-0.15","56","-0.48","0.18"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","Girls","All Pupils","0.26","50","-0.09","0.61"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","All Pupils","All Pupils","-0.07","2212","-0.13","-0.02"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","Boys","All Pupils","-0.33","1125","-0.41","-0.26"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Stockport","Local authority","E08000007","Girls","All Pupils","0.2","1087","0.12","0.27"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Tameside","Local authority","E08000008","All Pupils","All Pupils","-0.17","2426","-0.22","-0.12"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Tameside","Local authority","E08000008","Boys","All Pupils","-0.42","1234","-0.49","-0.35"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Tameside","Local authority","E08000008","Girls","All Pupils","0.1","1192","0.02","0.17"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","All Pupils","All Pupils","0.5","277","0.35","0.65"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","Boys","All Pupils","0.19","136","-0.02","0.4"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","Girls","All Pupils","0.79","141","0.58","1"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","All Pupils","All Pupils","0.15","29","-0.31","0.61"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","Boys","All Pupils","-0.45","15","-1.09","0.18"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","Girls","All Pupils","0.79","14","0.13","1.45"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","All Pupils","All Pupils","1.34","7","0.4","2.27"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","Boys","All Pupils","0.58","2","-1.17","2.33"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","Girls","All Pupils","1.64","5","0.54","2.75"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","All Pupils","All Pupils","-0.07","80","-0.35","0.21"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","Boys","All Pupils","-0.29","42","-0.67","0.09"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","Girls","All Pupils","0.17","38","-0.23","0.57"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","All Pupils","All Pupils","-0.28","2017","-0.33","-0.22"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","Boys","All Pupils","-0.52","1029","-0.6","-0.44"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Tameside","Local authority","E08000008","Girls","All Pupils","-0.03","988","-0.11","0.05"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Trafford","Local authority","E08000009","All Pupils","All Pupils","0.22","2645","0.17","0.27"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Trafford","Local authority","E08000009","Boys","All Pupils","0.05","1350","-0.01","0.12"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Trafford","Local authority","E08000009","Girls","All Pupils","0.4","1295","0.33","0.47"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","All Pupils","All Pupils","0.61","338","0.48","0.75"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","Boys","All Pupils","0.43","173","0.24","0.61"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","Girls","All Pupils","0.81","165","0.62","1"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","All Pupils","All Pupils","0.32","89","0.06","0.58"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","Boys","All Pupils","0.06","47","-0.3","0.42"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","Girls","All Pupils","0.61","42","0.23","0.99"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","All Pupils","All Pupils","1.1","29","0.64","1.56"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","Boys","All Pupils","0.81","15","0.17","1.45"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","Girls","All Pupils","1.42","14","0.75","2.08"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","All Pupils","All Pupils","-0.03","170","-0.22","0.16"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","Boys","All Pupils","-0.12","90","-0.38","0.14"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","Girls","All Pupils","0.07","80","-0.2","0.35"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","All Pupils","All Pupils","0.14","1956","0.09","0.2"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","Boys","All Pupils","-0.03","986","-0.11","0.04"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Trafford","Local authority","E08000009","Girls","All Pupils","0.33","970","0.25","0.4"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Wigan","Local authority","E08000010","All Pupils","All Pupils","-0.33","3169","-0.37","-0.28"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Wigan","Local authority","E08000010","Boys","All Pupils","-0.62","1572","-0.68","-0.56"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Wigan","Local authority","E08000010","Girls","All Pupils","-0.04","1597","-0.1","0.02"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","All Pupils","All Pupils","0.42","23","-0.1","0.93"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","Boys","All Pupils","-0.18","12","-0.9","0.53"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","Girls","All Pupils","1.07","11","0.33","1.82"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","All Pupils","All Pupils","0.1","24","-0.41","0.6"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","Boys","All Pupils","-0.28","12","-1","0.43"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","Girls","All Pupils","0.48","12","-0.23","1.2"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","All Pupils","All Pupils","1.44","8","0.57","2.32"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","Boys","All Pupils","1.37","7","0.43","2.3"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","Girls","All Pupils","1.97","1","-0.5","4.44"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","All Pupils","All Pupils","-0.22","50","-0.57","0.13"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","Boys","All Pupils","-0.52","28","-0.98","-0.05"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","Girls","All Pupils","0.15","22","-0.38","0.68"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","All Pupils","All Pupils","-0.35","3044","-0.39","-0.3"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","Boys","All Pupils","-0.64","1505","-0.7","-0.58"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Wigan","Local authority","E08000010","Girls","All Pupils","-0.06","1539","-0.12","0"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Knowsley","Local authority","E08000011","All Pupils","All Pupils","-0.82","921","-0.9","-0.74"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Knowsley","Local authority","E08000011","Boys","All Pupils","-1.09","464","-1.2","-0.97"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Knowsley","Local authority","E08000011","Girls","All Pupils","-0.55","457","-0.66","-0.43"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Knowsley","Local authority","E08000011","All Pupils","All Pupils","0.11","3","-1.32","1.54"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Knowsley","Local authority","E08000011","Boys","All Pupils","-0.85","1","-3.33","1.62"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Knowsley","Local authority","E08000011","Girls","All Pupils","0.59","2","-1.16","2.34"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Knowsley","Local authority","E08000011","All Pupils","All Pupils","0.1","1","-2.37","2.58"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Knowsley","Local authority","E08000011","Boys","All Pupils","0.1","1","-2.37","2.58"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Knowsley","Local authority","E08000011","All Pupils","All Pupils","-0.3","1","-2.78","2.17"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Knowsley","Local authority","E08000011","Boys","All Pupils","-0.3","1","-2.78","2.17"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Knowsley","Local authority","E08000011","All Pupils","All Pupils","-1.23","12","-1.95","-0.52"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Knowsley","Local authority","E08000011","Boys","All Pupils","-1.05","8","-1.93","-0.18"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Knowsley","Local authority","E08000011","Girls","All Pupils","-1.6","4","-2.83","-0.36"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Knowsley","Local authority","E08000011","All Pupils","All Pupils","-0.82","895","-0.9","-0.73"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Knowsley","Local authority","E08000011","Boys","All Pupils","-1.09","447","-1.21","-0.97"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Knowsley","Local authority","E08000011","Girls","All Pupils","-0.54","448","-0.66","-0.43"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Liverpool","Local authority","E08000012","All Pupils","All Pupils","-0.32","4270","-0.36","-0.28"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Liverpool","Local authority","E08000012","Boys","All Pupils","-0.55","2085","-0.61","-0.5"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Liverpool","Local authority","E08000012","Girls","All Pupils","-0.09","2185","-0.15","-0.04"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Liverpool","Local authority","E08000012","All Pupils","All Pupils","0.74","107","0.5","0.98"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Liverpool","Local authority","E08000012","Boys","All Pupils","0.6","49","0.25","0.96"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Liverpool","Local authority","E08000012","Girls","All Pupils","0.85","58","0.53","1.18"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Liverpool","Local authority","E08000012","All Pupils","All Pupils","-0.11","159","-0.3","0.09"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Liverpool","Local authority","E08000012","Boys","All Pupils","-0.42","81","-0.7","-0.15"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Liverpool","Local authority","E08000012","Girls","All Pupils","0.22","78","-0.06","0.5"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Liverpool","Local authority","E08000012","All Pupils","All Pupils","1.04","38","0.64","1.44"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Liverpool","Local authority","E08000012","Boys","All Pupils","1.09","22","0.56","1.62"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Liverpool","Local authority","E08000012","Girls","All Pupils","0.98","16","0.36","1.6"
