"","All","Asian","Black","Mixed","White","Other"
"Highest qualification held","","","","","",""
"All","13%","12%","15%","17%","13%","16%"
"Level 4 and above","8%","5%","7%","8%","8%","9%"
"Level 3","10%","8%","16%","15%","10%","?"
"Level 2","16%","22%","24%","27%","15%","?"
"Below Level 2","17%","19%","19%","?","17%","?"
"Other qualifications","12%","12%","12%","?","12%","12%"
"No qualifications","38%","32%","32%","?","39%","38%"
