"","All","Children","Working-age","Pensioners"
"Ethnicity","%","%","%","%"
"All","22","30","21","16"
"Asian","37","45","34","33"
"Bangladeshi","53","67","47","?"
"Chinese","34","34","33","?"
"Indian","24","27","22","31"
"Pakistani","46","53","43","48"
"Asian other","41","50","37","?"
"Black","42","47","41","30"
"Mixed","34","49","28","?"
"White","19","26","19","15"
"White British","19","25","18","15"
"White other","27","36","24","23"
"Other","40","50","37","?"
