"Ethnicity","Geography","%","Pupils"
"All","All - England","42.9","524,932"
"All","Barking and Dagenham","43.1","2,185"
"All","Barnet","60.3","3,528"
"All","Barnsley","38.8","2,110"
"All","Bath and North East Somerset","41.9","2,001"
"All","Bedford","37.9","1,827"
"All","Bexley","49.9","3,141"
"All","Birmingham","40.2","12,127"
"All","Blackburn with Darwen","41.9","1,746"
"All","Blackpool","27.1","1,190"
"All","Bolton","38.8","3,263"
"All","Bournemouth","47.8","1,611"
"All","Bracknell Forest","43.2","1,119"
"All","Bradford","35.1","5,786"
"All","Brent","49.8","2,908"
"All","Brighton and Hove","47.2","2,197"
"All","Bristol, City of","41.0","3,236"
"All","Bromley","47.6","3,258"
"All","Buckinghamshire","56.2","5,599"
"All","Bury","38.0","2,120"
"All","Calderdale","45.1","2,475"
"All","Cambridgeshire","46.7","5,635"
"All","Camden","48.3","1,513"
"All","Central Bedfordshire","42.5","2,591"
"All","Cheshire East","46.9","3,582"
"All","Cheshire West and Chester","39.8","3,328"
"All","City of London","N/A","N/A"
"All","Cornwall","38.4","5,133"
"All","County Durham","34.7","4,608"
"All","Coventry","36.2","3,374"
"All","Croydon","40.6","3,579"
"All","Cumbria","42.2","4,915"
"All","Darlington","44.0","1,066"
"All","Derby","37.4","2,741"
"All","Derbyshire","42.3","7,249"
"All","Devon","42.5","6,704"
"All","Doncaster","38.6","2,996"
"All","Dorset","39.6","3,988"
"All","Dudley","37.1","3,484"
"All","Ealing","50.7","2,722"
"All","East Riding of Yorkshire","44.9","3,370"
"All","East Sussex","38.4","4,812"
"All","Enfield","42.6","3,487"
"All","Essex","42.8","14,378"
"All","Gateshead","40.1","1,909"
"All","Gloucestershire","46.2","6,165"
"All","Greenwich","41.6","2,166"
"All","Hackney","44.7","2,002"
"All","Halton","30.5","1,395"
"All","Hammersmith and Fulham","52.9","1,313"
"All","Hampshire","45.5","12,740"
"All","Haringey","43.6","2,127"
"All","Harrow","50.0","2,049"
"All","Hartlepool","37.6","976"
"All","Havering","46.6","2,794"
"All","Herefordshire, County of","44.4","1,718"
"All","Hertfordshire","50.9","12,734"
"All","Hillingdon","45.3","3,075"
"All","Hounslow","46.7","2,641"
"All","Isle of Wight","32.6","1,251"
"All","Isles of Scilly","68.4","19"
"All","Islington","43.9","1,377"
"All","Kensington and Chelsea","57.4","739"
"All","Kent","42.3","15,407"
"All","Kingston upon Hull, City of","30.0","2,253"
"All","Kingston upon Thames","61.3","1,517"
"All","Kirklees","41.4","4,383"
"All","Knowsley","24.6","978"
"All","Lambeth","39.3","1,949"
"All","Lancashire","42.8","12,078"
"All","Leeds","39.3","7,427"
"All","Leicester","35.6","3,310"
"All","Leicestershire","45.0","6,867"
"All","Lewisham","37.9","2,247"
"All","Lincolnshire","42.4","7,549"
"All","Liverpool","37.3","4,467"
"All","Luton","34.6","2,433"
"All","Manchester","34.9","4,574"
"All","Medway","41.1","2,910"
"All","Merton","49.2","1,420"
"All","Middlesbrough","37.0","1,386"
"All","Milton Keynes","40.8","2,841"
"All","Newcastle upon Tyne","35.4","2,362"
