"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age","Socio-economic classification","Household income","Value","Value_type","Sample size","Standard error","Lower CI","Upper CI"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Devon and Cornwall","ONS geography code","E23000035","All","16+","All","All","?","%","41","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Dorset","ONS geography code","E23000039","All","16+","All","All","96.5","%","51","2.57565708","90.4357694","102.5516603"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Gloucestershire","ONS geography code","E23000037","All","16+","All","All","?","%","47","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Wiltshire","ONS geography code","E23000038","All","16+","All","All","88.7","%","81","3.519405063","80.40978397","96.96506539"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Wales","ONS geography code","W92000004","All","16+","All","All","75.3","%","145","3.581021264","66.88675588","83.73187991"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Dyfed-Powys","ONS geography code","W15000004","All","16+","All","All","?","%","12","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Gwent","ONS geography code","W15000002","All","16+","All","All","?","%","39","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","North Wales","ONS geography code","W15000001","All","16+","All","All","?","%","27","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","South Wales","ONS geography code","W15000003","All","16+","All","All","73.8","%","67","5.369641924","61.20724114","86.46603674"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","6 years combined","England and Wales","ONS geography code","K04000001","All","16+","All","All","78.4","%","4,759","0.5960362551","77.046697","79.850452"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16-24","All","All","76.4","%","457","1.987341199","71.68989792","81.03835092"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","25-34","All","All","78.5","%","1090","1.243321447","75.62435836","81.47294245"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","35-44","All","All","78.3","%","1436","1.088572274","75.6948535","80.81549747"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","45-54","All","All","76.1","%","759","1.548268928","72.44627063","79.72932767"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","55-64","All","All","81.9","%","479","1.757548656","77.80963115","86.07714003"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","65-74","All","All","83.7","%","336","2.013485331","78.9957902","88.4672252"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","75+","All","All","85.1","%","202","2.50227414","79.26009295","91.0307905"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","Men ","16+","All","All","78.4","%","2366","0.846530075","76.37255139","80.35462886"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","Women","16+","All","All","78.5","%","2393","0.839177375","76.57103946","80.51852983"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Managerial and professional occupations","All","76.6","%","1667","1.036773847","74.17243959","79.04942377"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Intermediate occupations","All","75.8","%","910","1.418880124","72.50789149","79.1823036"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Routine and manual occupations","All","80.3","%","1222","1.136717702","77.67476185","83.02188192"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Never worked and long-term unemployed","All","86.4","%","540","1.475535931","82.92059068","89.8615117"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Full time students","All","77.5","%","350","2.232709345","72.23053697","82.73320173"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Not classified","All","74.4","%","70","5.21597643","62.13594303","86.67189616"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","4 years combined","England and Wales","ONS geography code","K04000001","All","16+","All","All","69.7","%","1,978","1.03285789","67.316063","72.174627"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16-24","All","All","62.6","%","179","3.61610645","54.1185293","71.12869404"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","25-34","All","All","69.4","%","330","2.535715982","63.48201542","75.4100234"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","35-44","All","All","72.6","%","495","2.005666983","67.83845713","77.27311462"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","45-54","All","All","71.2","%","456","2.119986518","66.24065363","76.21307021"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","55-64","All","All","70.2","%","265","2.810459972","63.56028172","76.78068542"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","65-74","All","All","73.5","%","128","3.902590736","64.28453664","82.64232346"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","75+","All","All","75.8","%","125","3.830636941","66.79300803","84.8123242"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","Men ","16+","All","All","68.3","%","799","1.64627994","64.41784092","72.16194175"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","Women","16+","All","All","70.9","%","1179","1.322211083","67.83825033","74.05793127"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Managerial and professional occupations","All","68.7","%","603","1.888111607","64.27615485","73.15783185"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Intermediate occupations","All","63.4","%","275","2.905208348","56.54361712","70.2097172"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Routine and manual occupations","All","74.9","%","773","1.560316624","71.19101824","78.53074764"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Never worked and long-term unemployed","All","72.4","%","139","3.793276753","63.4374652","81.28103905"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Full time students","All","64.8","%","151","3.887545379","55.61913634","73.9061498"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Not classified","All","?","%","37","?","?","?"
"Confidence in police - Crime Survey England and Wales","Mixed ","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","7 years combined","England and Wales","ONS geography code","K04000001","All","16+","All","All","69.6","%","782","1.644390411","65.765440","73.500652"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16-24","All","All","73.0","%","155","3.565640937","64.62147488","81.39424984"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","25-34","All","All","67.2","%","190","3.406889917","59.15350904","75.17951921"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","35-44","All","All","65.8","%","173","3.606482848","57.32380722","74.28870254"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","45-54","All","All","67.8","%","119","4.284943271","57.67208323","77.82845638"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","55-64","All","All","72.0","%","87","4.814961637","60.65257508","83.30215462"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","65-74","All","All","?","%","39","?","?","?"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","75+","All","All","?","%","19","?","?","?"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","Men ","16+","All","All","67.0","%","348","2.520704834","61.06613687","72.92353241"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","Women","16+","All","All","72.2","%","434","2.150711122","67.13404158","77.2509867"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Managerial and professional occupations","All","69.4","%","285","2.730887211","62.93005865","75.77615209"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Intermediate occupations","All","66.0","%","129","4.171713531","56.1564735","75.78021396"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Routine and manual occupations","All","66.8","%","228","3.117948591","59.50328354","74.17011372"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Never worked and long-term unemployed","All","?","%","37","?","?","?"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Full time students","All","75.7","%","94","4.426172164","65.24984567","86.07055953"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Not classified","All","?","%","9","?","?","?"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16-24","All","All","74.8","%","71","5.152985589","62.67369531","86.91333952"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","25-34","All","All","78.1","%","157","3.301008772","70.329168","85.85711326"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","35-44","All","All","80.0","%","202","2.815415067","73.35871206","86.60242454"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","45-54","All","All","80.2","%","114","3.73148897","71.43384856","88.98677267"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","55-64","All","All","75.0","%","61","5.541339285","62.00488284","88.07134284"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","65-74","All","All","?","%","35","?","?","?"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","75+","All","All","?","%","21","?","?","?"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","Men ","16+","All","All","75.4","%","320","2.407303178","69.74599905","81.0699532"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","Women","16+","All","All","80.9","%","341","2.127057729","75.93561959","85.94129915"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Managerial and professional occupations","All","76.8","%","197","3.005421543","69.77498048","83.91248342"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Intermediate occupations","All","79.3","%","108","3.901569994","70.0809367","88.43392195"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Routine and manual occupations","All","76.0","%","182","3.167723632","68.50574473","83.4067167"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Never worked and long-term unemployed","All","83.0","%","81","4.178313954","73.12525483","92.78004367"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Full time students","All","78.1","%","85","4.482942173","67.59460798","88.68236797"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000002","All","16+","Not classified","All","?","%","8","?","?","?"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","5 years combined","England and Wales","ONS geography code","K04000001","All","16+","All","All","78.1","%","661","1.609522882","74.279278","81.850474"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16-24","All","All","78.5","%","4127","0.6393963903","77.00522422","80.01294484"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","25-34","All","All","77.2","%","9518","0.4298616523","76.21494673","78.23701594"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","35-44","All","All","75.8","%","10059","0.4269070863","74.81743012","76.82560105"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","45-54","All","All","73.8","%","11060","0.4180533897","72.82973653","74.79625968"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","55-64","All","All","73.2","%","11299","0.4169116971","72.17239783","74.13355046"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","65-74","All","All","74.5","%","11625","0.4043884132","73.52261705","75.42486015"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","75+","All","All","81.6","%","10766","0.373685871","80.69043661","82.44825495"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","Men ","16+","All","All","75.2","%","31188","0.2444390023","74.6541048","75.80394586"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","Women","16+","All","All","76.8","%","37266","0.2185751914","76.31150695","77.33968465"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Managerial and professional occupations","All","78.3","%","25860","0.2563146407","77.70033747","78.90604154"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","Intermediate occupations","All","74.8","%","15933","0.3438283566","74.0193962","75.63676479"
"Confidence in police - Crime Survey England and Wales","All","All","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","75.3","%","33704","0.234868522","74.7611972","75.86601873"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","75.4","%","30046","0.248554875","74.78806863","75.95727077"
"Confidence in police - Crime Survey England and Wales","White British","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","74.8","%","27718","0.260736446","74.19871094","75.42521518"
"Confidence in police - Crime Survey England and Wales","White Irish","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","81.6","%","303","2.22604473","76.3642104","86.83552481"
"Confidence in police - Crime Survey England and Wales","Gypsy or Irish traveller","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","?","%","10","?","?","?"
"Confidence in police - Crime Survey England and Wales","White Other","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","81.0","%","2015","0.874409004","78.91674826","83.02996821"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","67.6","%","369","2.435347164","61.92120128","73.37707434"
"Confidence in police - Crime Survey England and Wales","Mixed White and Black Caribbean","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","58.1","%","122","4.467274575","47.57392686","68.58798646"
"Confidence in police - Crime Survey England and Wales","Mixed White and Black African","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","?","%","48","?","?","?"
"Confidence in police - Crime Survey England and Wales","Mixed White and Asian","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","75.8","%","89","4.541605506","65.09157841","86.45529071"
"Confidence in police - Crime Survey England and Wales","Mixed Other","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","69.3","%","110","4.397935558","58.95366969","79.64155856"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","78.5","%","2046","0.90872093","76.33138965","80.6060129"
"Confidence in police - Crime Survey England and Wales","Indian","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","79.2","%","776","1.45737818","75.75809754","82.6136045"
"Confidence in police - Crime Survey England and Wales","Pakistani","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","72.7","%","505","1.982694561","68.02603358","77.35262879"
"Confidence in police - Crime Survey England and Wales","Bangladeshi","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","77.1","%","211","2.894527145","70.25092209","83.86677778"
"Confidence in police - Crime Survey England and Wales","Chinese","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","87.0","%","177","2.529463298","81.03071489","92.92931025"
"Confidence in police - Crime Survey England and Wales","Asian Other","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","83.4","%","377","1.916071473","78.89861852","87.91181873"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","69.7","%","913","1.521604949","66.07183096","73.22946064"
"Confidence in police - Crime Survey England and Wales","Black African","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","76.1","%","576","1.777457854","71.90026841","80.26143016"
"Confidence in police - Crime Survey England and Wales","Black Caribbean","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","56.0","%","277","2.982499801","48.98520188","63.01488095"
"Confidence in police - Crime Survey England and Wales","Black Other","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","61.2","%","60","6.290364982","46.42462055","76.01449742"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","77.3","%","278","2.510827779","71.43345759","83.24439147"
"Confidence in police - Crime Survey England and Wales","Arab","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","79.8","%","94","4.137979826","70.10787289","89.57292999"
"Confidence in police - Crime Survey England and Wales","Any Other","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","75.9","%","184","3.155024918","68.43340368","83.2746409"
"Confidence in police - Crime Survey England and Wales","All","All","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","78.4","%","34293","0.222325622","77.84859351","78.89441323"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","78.4","%","30658","0.235118782","77.82304606","78.92904481"
"Confidence in police - Crime Survey England and Wales","White British","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","77.9","%","28420","0.246047778","77.34023452","78.49764327"
"Confidence in police - Crime Survey England and Wales","White Irish","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","84.3","%","294","2.119003711","79.36560169","89.33339515"
"Confidence in police - Crime Survey England and Wales","Gypsy or Irish traveller","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","15","?","?","?"
"Confidence in police - Crime Survey England and Wales","White Other","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","83.1","%","1929","0.853814268","81.06389119","85.08023351"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","70.6","%","371","2.36504538","65.04891226","76.17408572"
"Confidence in police - Crime Survey England and Wales","Mixed White and Black Caribbean","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","67.3","%","120","4.283674166","57.18794629","77.33834956"
"Confidence in police - Crime Survey England and Wales","Mixed White and Black African","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","80.5","%","61","5.070831773","68.59366863","92.44686129"
"Confidence in police - Crime Survey England and Wales","Mixed White and Asian","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","68.1","%","86","5.026060574","56.2764816","79.91907055"
"Confidence in police - Crime Survey England and Wales","Mixed Other","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","71.0","%","104","4.447530109","60.58282851","81.50401014"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","80.4","%","1980","0.892281642","78.29198163","82.48927447"
"Confidence in police - Crime Survey England and Wales","Indian","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","81.9","%","783","1.375864279","78.6666165","85.13868207"
"Confidence in police - Crime Survey England and Wales","Pakistani","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","75.6","%","491","1.937316885","71.07896098","80.19209961"
"Confidence in police - Crime Survey England and Wales","Bangladeshi","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","80.9","%","177","2.953817674","73.9665032","87.86126154"
"Confidence in police - Crime Survey England and Wales","Chinese","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","78.1","%","163","3.241760986","70.42944508","85.67868876"
"Confidence in police - Crime Survey England and Wales","Asian Other","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","85.1","%","366","1.861736851","80.71279704","89.47040718"
