"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Admission Basis","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All state-funded mainstream schools","39.1","33.7","44.7","49.1","42.7","55.8","45.9","39.0","52.6","64.3","59.6","68.6","42.7","37.4","48.0","36.8","31.6","42.1"
"Non-selective schools in highly selective areas","28.0","21.9","34.1","33.0","24.7","41.5","37.8","25.9","49.9","50.0","50.0","50.0","30.6","24.1","36.9","26.9","21.4","32.6"
"Non-selective schools in other areas","38.0","32.6","43.6","47.0","40.3","53.9","45.0","38.3","51.5","59.4","53.1","65.0","41.3","36.0","46.7","35.7","30.6","41.0"
"Selective schools","78.7","74.2","83.1","81.0","77.4","85.1","83.0","80.1","85.2","86.1","84.6","87.6","78.1","74.5","81.8","77.8","72.9","82.5"
