"Gender","Ethnicity","%","Pupils"
"All","All","38.4","523,626"
"All","Asian","48.5","55,737"
"All","Bangladeshi","46.2","9,384"
"All","Indian","57.0","14,575"
"All","Pakistani","41.8","22,840"
"All","Asian other","54.1","8,938"
"All","Black","45.0","28,949"
"All","Black African","49.1","18,358"
"All","Black Caribbean","36.1","6,933"
"All","Black other","41.0","3,658"
"All","Chinese","63.6","1,875"
"All","Mixed","41.8","24,646"
"All","Mixed White/Asian","48.4","5,537"
"All","Mixed White/Black African","42.7","2,936"
"All","Mixed White/Black Caribbean","30.5","7,093"
"All","Mixed other","46.4","9,080"
"All","White","36.0","396,680"
"All","White British","35.1","367,680"
"All","White Irish","46.1","1,646"
"All","Gypsy/Roma","8.9","1,107"
"All","Irish Traveller","9.9","111"
"All","White other","49.3","26,136"
"All","Other","50.0","8,573"
"All","Unknown","31.2","7,166"
"Boys","All","32.8","266,906"
"Boys","Asian","42.0","28,532"
"Boys","Bangladeshi","41.9","4,620"
"Boys","Indian","50.7","7,452"
"Boys","Pakistani","34.1","11,636"
"Boys","Asian other","47.6","4,824"
"Boys","Black","37.8","14,334"
"Boys","Black African","42.2","9,143"
"Boys","Black Caribbean","28.0","3,355"
"Boys","Black other","33.5","1,836"
"Boys","Chinese","58.6","903"
"Boys","Mixed","36.3","12,447"
"Boys","Mixed White/Asian","43.2","2,793"
"Boys","Mixed White/Black African","35.6","1,474"
"Boys","Mixed White/Black Caribbean","25.0","3,550"
"Boys","Mixed other","41.0","4,630"
"Boys","White","30.6","202,483"
"Boys","White British","29.7","187,806"
"Boys","White Irish","42.3","832"
"Boys","Gypsy/Roma","5.8","517"
"Boys","Irish Traveller","3.6","55"
"Boys","White other","44.2","13,273"
"Boys","Other","45.0","4,462"
"Boys","Unknown","27.2","3,745"
"Girls","All","44.2","256,720"
"Girls","Asian","55.3","27,205"
"Girls","Bangladeshi","50.3","4,764"
"Girls","Indian","63.6","7,123"
"Girls","Pakistani","49.8","11,204"
"Girls","Asian other","61.7","4,114"
"Girls","Black","52.0","14,615"
"Girls","Black African","55.9","9,215"
"Girls","Black Caribbean","43.8","3,578"
"Girls","Black other","48.6","1,822"
"Girls","Chinese","68.2","972"
"Girls","Mixed","47.5","12,199"
"Girls","Mixed White/Asian","53.6","2,744"
"Girls","Mixed White/Black African","49.8","1,462"
"Girls","Mixed White/Black Caribbean","36.1","3,543"
"Girls","Mixed other","52.1","4,450"
"Girls","White","41.6","194,197"
"Girls","White British","40.8","179,874"
"Girls","White Irish","49.9","814"
"Girls","Gypsy/Roma","11.5","590"
"Girls","Irish Traveller","16.1","56"
"Girls","White other","54.6","12,863"
"Girls","Other","55.5","4,111"
"Girls","Unknown","35.6","3,421"
