"Ethnicity","Geography","%","Pupils"
"All","All - England","38.5","521,202"
"All","Barking and Dagenham","37.8","2,199"
"All","Barnet","60.9","3,810"
"All","Barnsley","27.4","2,011"
"All","Bath and North East Somerset","51.7","2,074"
"All","Bedford","31.9","1,832"
"All","Bexley","42.6","3,032"
"All","Birmingham","40.0","12,166"
"All","Blackburn with Darwen","35.7","1,830"
"All","Blackpool","15.1","1,136"
"All","Bolton","33.1","3,251"
"All","Bournemouth","44.6","1,512"
"All","Bracknell Forest","34.3","1,043"
"All","Bradford","37.8","5,941"
"All","Brent","63.5","2,858"
"All","Brighton and Hove","36.4","2,169"
"All","Bristol, City of","37.2","3,109"
"All","Bromley","53.7","3,214"
"All","Buckinghamshire","39.5","5,665"
"All","Bury","50.6","2,113"
"All","Calderdale","31.2","2,410"
"All","Cambridgeshire","37.4","5,491"
"All","Camden","49.3","1,533"
"All","Central Bedfordshire","33.4","2,579"
"All","Cheshire East","31.9","3,537"
"All","Cheshire West and Chester","44.3","3,298"
"All","City of London","N/A","0"
"All","Cornwall","30.6","5,117"
"All","County Durham","33.8","4,614"
"All","Coventry","38.9","3,377"
"All","Croydon","45.5","3,452"
"All","Cumbria","33.8","4,689"
"All","Darlington","44.6","1,097"
"All","Derby","41.0","2,747"
"All","Derbyshire","32.1","7,069"
"All","Devon","37.5","6,559"
"All","Doncaster","19.0","2,903"
"All","Dorset","41.6","3,989"
"All","Dudley","34.9","3,283"
"All","Ealing","54.3","2,853"
"All","East Riding of Yorkshire","31.7","3,151"
"All","East Sussex","29.1","4,665"
"All","Enfield","52.7","3,414"
"All","Essex","32.9","14,040"
"All","Gateshead","38.4","1,885"
"All","Gloucestershire","34.7","6,006"
"All","Greenwich","50.9","2,269"
"All","Hackney","55.6","2,058"
"All","Halton","45.8","1,333"
"All","Hammersmith and Fulham","64.6","1,291"
"All","Hampshire","35.3","12,497"
"All","Haringey","44.2","2,190"
"All","Harrow","59.9","2,044"
"All","Hartlepool","26.9","1,016"
"All","Havering","49.1","2,774"
"All","Herefordshire, County of","40.3","1,644"
"All","Hertfordshire","46.7","12,372"
"All","Hillingdon","45.7","3,064"
"All","Hounslow","62.2","2,666"
"All","Isle of Wight","23.7","1,070"
"All","Isles of Scilly","53.3","15"
"All","Islington","40.1","1,404"
"All","Kensington and Chelsea","24.8","718"
"All","Kent","40.7","15,516"
"All","Kingston upon Hull, City of","48.4","2,307"
"All","Kingston upon Thames","62.8","1,515"
"All","Kirklees","41.6","4,488"
"All","Knowsley","31.1","929"
"All","Lambeth","53.5","2,114"
"All","Lancashire","29.7","11,631"
"All","Leeds","37.3","7,598"
"All","Leicester","30.7","3,511"
"All","Leicestershire","34.6","6,837"
"All","Lewisham","43.7","2,104"
"All","Lincolnshire","40.9","7,255"
"All","Liverpool","34.2","4,461"
"All","Luton","30.2","2,567"
"All","Manchester","33.5","4,734"
"All","Medway","40.7","2,899"
"All","Merton","49.3","1,404"
"All","Middlesbrough","22.4","1,337"
"All","Milton Keynes","44.9","2,774"
"All","Newcastle upon Tyne","41.1","2,438"
"All","Newham","64.9","3,745"
