"Ethnicity","Geography","All","Boys","Girls"
"All","All - England","38.5","32.9","44.3"
"All","Barking and Dagenham","37.8","29.8","46.1"
"All","Barnet","60.9","57.6","64.5"
"All","Barnsley","27.4","20.0","34.9"
"All","Bath and North East Somerset","51.7","38.0","65.2"
"All","Bedford","31.9","26.4","38.1"
"All","Bexley","42.6","37.3","47.8"
"All","Birmingham","40.0","32.5","47.8"
"All","Blackburn with Darwen","35.7","33.5","38.1"
"All","Blackpool","15.1","11.4","19.3"
"All","Bolton","33.1","24.7","42.1"
"All","Bournemouth","44.6","37.8","51.5"
"All","Bracknell Forest","34.3","29.1","39.6"
"All","Bradford","37.8","31.9","43.8"
"All","Brent","63.5","58.1","69.3"
"All","Brighton and Hove","36.4","34.2","38.6"
"All","Bristol, City of","37.2","28.4","45.6"
"All","Bromley","53.7","45.2","62.3"
"All","Buckinghamshire","39.5","34.0","45.3"
"All","Bury","50.6","46.2","55.3"
"All","Calderdale","31.2","27.4","35.1"
"All","Cambridgeshire","37.4","32.4","42.7"
"All","Camden","49.3","44.8","52.6"
"All","Central Bedfordshire","33.4","28.1","38.9"
"All","Cheshire East","31.9","24.9","39.2"
"All","Cheshire West and Chester","44.3","38.3","50.6"
"All","City of London","N/A","N/A","N/A"
"All","Cornwall","30.6","24.7","36.6"
"All","County Durham","33.8","28.2","39.7"
"All","Coventry","38.9","30.8","47.3"
"All","Croydon","45.5","38.9","51.7"
"All","Cumbria","33.8","28.1","39.7"
"All","Darlington","44.6","41.5","48.0"
"All","Derby","41.0","36.0","46.4"
"All","Derbyshire","32.1","25.7","38.7"
"All","Devon","37.5","31.2","44.5"
"All","Doncaster","19.0","16.6","21.7"
"All","Dorset","41.6","39.2","44.2"
"All","Dudley","34.9","28.5","41.8"
"All","Ealing","54.3","48.3","60.1"
"All","East Riding of Yorkshire","31.7","23.8","39.7"
"All","East Sussex","29.1","22.7","35.9"
"All","Enfield","52.7","47.4","58.2"
"All","Essex","32.9","27.4","38.6"
"All","Gateshead","38.4","33.4","43.6"
"All","Gloucestershire","34.7","30.9","38.7"
"All","Greenwich","50.9","49.7","52.2"
"All","Hackney","55.6","53.3","57.5"
"All","Halton","45.8","42.5","49.1"
"All","Hammersmith and Fulham","64.6","60.7","68.5"
"All","Hampshire","35.3","30.9","39.9"
"All","Haringey","44.2","38.4","50.0"
"All","Harrow","59.9","52.6","66.9"
"All","Hartlepool","26.9","16.9","36.9"
"All","Havering","49.1","45.6","52.9"
"All","Herefordshire, County of","40.3","33.3","47.7"
"All","Hertfordshire","46.7","42.0","51.6"
"All","Hillingdon","45.7","40.6","51.0"
"All","Hounslow","62.2","59.7","64.8"
"All","Isle of Wight","23.7","21.6","25.9"
"All","Isles of Scilly","53.3","25.0","85.7"
"All","Islington","40.1","47.5","31.8"
"All","Kensington and Chelsea","24.8","24.0","25.9"
"All","Kent","40.7","33.6","48.1"
"All","Kingston upon Hull, City of","48.4","44.0","53.3"
"All","Kingston upon Thames","62.8","59.6","65.8"
"All","Kirklees","41.6","33.9","49.3"
"All","Knowsley","31.1","27.0","35.3"
"All","Lambeth","53.5","45.7","61.5"
"All","Lancashire","29.7","25.0","34.6"
"All","Leeds","37.3","32.3","42.7"
"All","Leicester","30.7","25.4","36.4"
"All","Leicestershire","34.6","29.2","40.4"
"All","Lewisham","43.7","35.8","51.5"
"All","Lincolnshire","40.9","34.6","47.5"
"All","Liverpool","34.2","29.8","38.3"
"All","Luton","30.2","28.0","32.7"
"All","Manchester","33.5","25.2","41.9"
"All","Medway","40.7","33.2","47.9"
"All","Merton","49.3","41.9","57.1"
"All","Middlesbrough","22.4","17.1","27.8"
"All","Milton Keynes","44.9","38.6","51.5"
"All","Newcastle upon Tyne","41.1","39.9","42.5"
"All","Newham","64.9","60.5","69.3"
"All","Norfolk","33.8","28.9","39.0"
"All","North East Lincolnshire","32.9","26.5","39.5"
"All","North Lincolnshire","30.2","25.5","35.4"
"All","North Somerset","32.0","26.9","37.1"
"All","North Tyneside","37.3","28.9","45.8"
"All","North Yorkshire","39.8","33.0","47.0"
"All","Northamptonshire","38.3","34.1","42.7"
"All","Northumberland","29.7","24.7","34.9"
"All","Nottingham","29.3","20.5","37.9"
"All","Nottinghamshire","36.1","30.1","42.4"
"All","Oldham","23.5","18.5","28.7"
"All","Oxfordshire","34.0","28.8","39.4"
"All","Peterborough","35.3","28.6","42.9"
"All","Plymouth","40.4","33.8","47.2"
"All","Poole","39.7","36.4","43.3"
"All","Portsmouth","45.0","43.6","46.6"
"All","Reading","38.5","35.1","42.5"
"All","Redbridge","43.8","38.0","50.3"
"All","Redcar and Cleveland","22.7","17.5","28.2"
"All","Richmond upon Thames","54.5","50.6","58.3"
"All","Rochdale","20.6","16.7","24.7"
"All","Rotherham","23.8","19.5","28.0"
"All","Rutland","27.2","22.2","32.4"
"All","Salford","32.4","25.7","38.9"
"All","Sandwell","20.8","17.9","23.9"
"All","Sefton","33.8","29.2","38.8"
"All","Sheffield","35.7","31.2","40.5"
"All","Shropshire","37.1","32.9","41.6"
"All","Slough","41.5","32.4","49.5"
"All","Solihull","37.7","33.2","42.3"
"All","Somerset","31.9","26.4","37.8"
"All","South Gloucestershire","29.8","24.7","35.1"
"All","South Tyneside","26.1","22.2","29.9"
"All","Southampton","33.9","31.1","36.8"
"All","Southend-on-Sea","43.8","37.4","50.5"
"All","Southwark","61.7","54.1","69.1"
"All","St. Helens","37.8","32.6","43.5"
"All","Staffordshire","33.9","28.4","39.7"
"All","Stockport","40.6","35.5","46.1"
"All","Stockton-on-Tees","38.9","32.5","46.2"
"All","Stoke-on-Trent","27.2","21.0","33.5"
"All","Suffolk","31.0","26.2","35.9"
"All","Sunderland","41.9","33.7","50.1"
"All","Surrey","45.6","39.1","52.6"
"All","Sutton","54.8","46.3","63.8"
"All","Swindon","32.1","26.7","37.9"
"All","Tameside","31.3","21.5","41.6"
"All","Telford and Wrekin","44.9","41.5","48.4"
"All","Thurrock","41.4","36.4","46.3"
"All","Torbay","28.2","24.1","32.5"
"All","Tower Hamlets","46.4","44.1","48.5"
"All","Trafford","52.7","44.9","60.9"
"All","Wakefield","28.2","22.9","33.7"
"All","Walsall","35.0","31.1","39.0"
"All","Waltham Forest","48.3","41.8","54.7"
"All","Wandsworth","58.4","50.4","67.2"
"All","Warrington","33.4","27.3","40.4"
"All","Warwickshire","38.2","32.3","44.3"
"All","West Berkshire","46.4","40.8","51.8"
"All","West Sussex","36.7","29.7","44.0"
"All","Westminster","50.8","39.8","61.7"
"All","Wigan","24.2","17.7","30.7"
"All","Wiltshire","32.7","27.5","37.8"
"All","Windsor and Maidenhead","49.0","40.4","58.2"
"All","Wirral","49.5","46.8","52.0"
"All","Wokingham","51.4","43.3","59.9"
"All","Wolverhampton","27.2","20.4","33.7"
"All","Worcestershire","41.6","36.9","46.6"
"All","York","51.5","46.0","56.8"
"Asian","All - England","48.8","42.4","55.6"
"Asian","Barking and Dagenham","36.7","27.1","46.4"
"Asian","Barnet","78.0","80.9","75.0"
"Asian","Barnsley","25.0","0.0","50.0"
"Asian","Bath and North East Somerset","69.6","60.0","76.9"
"Asian","Bedford","27.1","18.9","36.5"
"Asian","Bexley","63.8","57.1","70.8"
"Asian","Birmingham","44.0","35.8","52.2"
"Asian","Blackburn with Darwen","55.7","52.4","59.3"
"Asian","Blackpool","22.7","16.7","30.0"
"Asian","Bolton","55.0","41.6","69.6"
"Asian","Bournemouth","63.4","52.2","77.8"
"Asian","Bracknell Forest","45.8","58.1","32.1"
"Asian","Bradford","43.5","36.3","50.6"
"Asian","Brent","67.8","61.9","74.2"
"Asian","Brighton and Hove","49.1","46.4","51.7"
"Asian","Bristol, City of","47.5","36.1","59.4"
"Asian","Bromley","72.3","77.3","68.1"
"Asian","Buckinghamshire","39.4","31.7","47.6"
"Asian","Bury","62.9","58.2","67.5"
"Asian","Calderdale","30.2","24.5","36.4"
"Asian","Cambridgeshire","47.1","40.5","53.0"
"Asian","Camden","42.3","39.7","44.8"
"Asian","Central Bedfordshire","38.0","23.1","54.2"
"Asian","Cheshire East","42.6","32.3","53.3"
"Asian","Cheshire West and Chester","56.7","57.9","54.5"
"Asian","City of London","N/A","N/A","N/A"
"Asian","Cornwall","43.8","33.3","57.1"
"Asian","County Durham","43.8","39.1","55.6"
"Asian","Coventry","52.4","41.6","63.7"
"Asian","Croydon","46.8","41.2","52.6"
"Asian","Cumbria","53.3","42.9","62.5"
"Asian","Darlington","43.8","45.5","42.9"
"Asian","Derby","59.8","59.0","60.5"
"Asian","Derbyshire","42.9","36.6","51.7"
"Asian","Devon","69.6","62.5","73.3"
"Asian","Doncaster","27.4","29.6","24.4"
"Asian","Dorset","60.7","68.8","50.0"
"Asian","Dudley","39.1","31.8","46.1"
