"Ethnicity","%","Number of respondents"
"All","9","29,344"
"Asian","17","2,356"
"Black","15","897"
"Mixed","9","316"
"White","9","24,681"
"White British","9","23,364"
"White other","8","1,317"
"Other","11","157"
