"Gender","Ethnicity","Number ","%"
"Female","Asian","18,060","5.1"
"Female","Bangladeshi","1,965","0.6"
"Female","Chinese","655","0.2"
"Female","Indian","6,545","1.8"
"Female","Pakistani","4,870","1.4"
"Female","Asian other","4,030","1.1"
"Female","Black","14,925","4.2"
"Female","Black African","5,105","1.4"
"Female","Black Caribbean","7,315","2.1"
"Female","Black other","2,505","0.7"
"Female","Mixed","3,785","1.1"
"Female","Mixed White/Asian","520","0.1"
"Female","Mixed White/Black African","315","0.1"
"Female","Mixed White/Black Caribbean","885","0.2"
"Female","Mixed other","2,065","0.6"
"Female","White","299,370","83.9"
"Female","White British","286,110","80.2"
"Female","White Irish","3,880","1.1"
"Female","White Gypsy/Traveller","140","0.0"
"Female","White other","9,240","2.6"
"Female","Other","3,260","0.9"
"Female","Arab","275","0.1"
"Female","Any other","2,985","0.8"
"Female","Unknown","17,210","4.8"
"Male","Asian","13,720","5.2"
"Male","Bangladeshi","1,415","0.5"
"Male","Chinese","555","0.2"
"Male","Indian","4,475","1.7"
"Male","Pakistani","3,875","1.5"
"Male","Asian other","3,400","1.3"
"Male","Black","13,110","5.0"
"Male","Black African","4,620","1.7"
"Male","Black Caribbean","5,940","2.2"
"Male","Black other","2,550","1.0"
"Male","Mixed","3,830","1.4"
"Male","Mixed White/Asian","615","0.2"
"Male","Mixed White/Black African","365","0.1"
"Male","Mixed White/Black Caribbean","955","0.4"
"Male","Mixed other","1,895","0.7"
"Male","White","217,690","82.4"
"Male","White British","208,270","78.8"
"Male","White Irish","2,645","1.0"
"Male","White Gypsy/Traveller","125","0.0"
"Male","White other","6,650","2.5"
"Male","Other","2,930","1.1"
"Male","Arab","240","0.1"
"Male","Any other","2,690","1.0"
"Male","Unknown","13,070","4.9"
