"","White British","","","Other than White British","",""
"Age_group","%","Homeowners ('000s)","All households ('000s)","%","Homeowners ('000s)","All households ('000s)"
"16 - 24","12","71","580","6","12","202"
"25 - 34","44","1,009","2,297","23","231","1,009"
"35 - 44","61","1,700","2,773","39","472","1,218"
"45 - 54","71","2,645","3,705","47","394","844"
"55 - 64","77","2,586","3,373","57","283","499"
"65 or over","79","4,841","6,136","69","362","526"
