"","White British","","","Other than White British","",""
"NS-SEC","%","Homeowners ('000s)","All households ('000s)","%","Homeowners ('000s)","All households ('000s)"
"Higher managerial, administrative and professional occupations","81","6,213","7,684","53","868","1,629"
"Intermediate occupations","71","2,816","3,958","42","329","792"
"Routine and manual occupations","53","3,161","6,010","30","428","1,427"
