"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England"," 16 - 24","All","All","All","10.51000386","82","782","869"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England"," 25 - 34","All","All","All","37.50806148","1240","3306","3719"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England"," 35 - 44","All","All","All","54.43918166","2172","3990","4588"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England"," 45 - 54","All","All","All","66.79961801","3038","4549","5004"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England"," 55 - 64","All","All","All","74.10109021","2869","3872","4462"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England"," 65 or over","All","All","All","78.0944493","5203","6662","7703"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All Age Group","All","All","All","63.05789375","14604","23160","26345"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","North East","61.7523976","673","1090","1510"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","North West","66.51505653","1834","2757","3380"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","Yorkshire and the Humber","65.51261715","1305","1992","2519"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","East Midlands","71.07667415","1200","1688","2021"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","West Midlands","67.96772412","1344","1978","2194"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","East","70.46003208","1541","2186","2493"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","London","61.80117809","1026","1660","1507"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","South East","71.72367485","2327","3244","3553"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","South West","70.60991328","1602","2269","2379"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","All Region","68.12514457","12851","18863","21556"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","North East","49.9934747","34","68","88"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","North West","43.27038089","166","384","470"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","Yorkshire and the Humber","43.87132149","131","299","389"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","East Midlands","42.00621925","121","289","343"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","West Midlands","49.7986403","207","415","488"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","East","45.59894675","168","367","447"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","London","34.96123333","621","1778","1761"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","South East","45.16761104","236","522","611"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","South West","39.74193486","70","175","192"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","All Region","40.81293789","1754","4297","4789"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","North East","61.05900416","707","1159","1598"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","North West","63.6727758","2000","3141","3850"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","Yorkshire and the Humber","62.6916579","1436","2290","2908"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","East Midlands","66.83032754","1321","1976","2364"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","West Midlands","64.81722803","1551","2393","2682"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","East","66.88289933","1708","2554","2940"
