"Ethnicity","Local Authority","%"
"Asian","Barking and Dagenham","8.6"
"Asian","Barnet","6.8"
"Asian","Barnsley","10.3"
"Asian","Bath and North East Somerset","13.3"
"Asian","Bedford","11.7"
"Asian","Bexley","5.6"
"Asian","Birmingham","11.6"
"Asian","Blackburn with Darwen","8.7"
"Asian","Blackpool","8.2"
"Asian","Bolton","8.3"
"Asian","Bournemouth","9.0"
"Asian","Bracknell Forest","6.1"
"Asian","Bradford","11.0"
"Asian","Brent","7.2"
"Asian","Brighton and Hove","10.1"
"Asian","Bristol City of","14.3"
"Asian","Bromley","7.4"
"Asian","Buckinghamshire","12.1"
"Asian","Bury","12.1"
"Asian","Calderdale","10.0"
"Asian","Cambridgeshire","10.2"
"Asian","Camden","13.4"
"Asian","Central Bedfordshire","10.3"
"Asian","Cheshire East","9.9"
"Asian","Cheshire West and Chester","12.7"
"Asian","City of London","!"
"Asian","Cornwall","18.2"
"Asian","Coventry","8.0"
"Asian","Croydon","8.9"
"Asian","Cumbria","8.9"
"Asian","Darlington","12.5"
"Asian","Derby","8.1"
"Asian","Derbyshire","9.7"
"Asian","Devon","6.9"
"Asian","Doncaster","10.1"
"Asian","Dorset","7.7"
"Asian","Dudley","10.6"
"Asian","Durham","8.5"
"Asian","Ealing","8.4"
"Asian","East Riding of Yorkshire","9.5"
"Asian","East Sussex","7.8"
"Asian","Enfield","9.6"
"Asian","Essex","7.1"
"Asian","Gateshead","9.9"
"Asian","Gloucestershire","6.6"
"Asian","Greenwich","7.2"
"Asian","Hackney","9.7"
"Asian","Halton","11.1"
"Asian","Hammersmith and Fulham","11.3"
"Asian","Hampshire","7.1"
"Asian","Haringey","9.6"
"Asian","Harrow","5.8"
"Asian","Hartlepool","6.4"
"Asian","Havering","8.1"
"Asian","Herefordshire","5.3"
"Asian","Hertfordshire","8.6"
"Asian","Hillingdon","7.2"
"Asian","Hounslow","7.3"
"Asian","Isle of Wight","9.5"
"Asian","Isles Of Scilly","NA"
"Asian","Islington","11.2"
"Asian","Kensington and Chelsea","8.0"
"Asian","Kent","6.2"
"Asian","Kingston upon Hull City of","8.3"
"Asian","Kingston upon Thames","6.4"
"Asian","Kirklees","11.0"
"Asian","Knowsley","6.7"
"Asian","Lambeth","10.8"
"Asian","Lancashire","11.1"
"Asian","Leeds","9.9"
"Asian","Leicester","8.3"
"Asian","Leicestershire","6.8"
"Asian","Lewisham","7.5"
"Asian","Lincolnshire","7.1"
"Asian","Liverpool","7.1"
"Asian","Luton","11.2"
"Asian","Manchester","9.1"
"Asian","Medway","6.6"
"Asian","Merton","6.6"
"Asian","Middlesbrough","8.4"
"Asian","Milton Keynes","10.0"
"Asian","Newcastle upon Tyne","10.0"
"Asian","Newham","8.6"
"Asian","Norfolk","10.2"
"Asian","North East Lincolnshire","10.7"
"Asian","North Lincolnshire","12.2"
"Asian","North Somerset","10.1"
"Asian","North Tyneside","10.0"
"Asian","North Yorkshire","8.1"
"Asian","Northamptonshire","8.3"
"Asian","Northumberland","10.1"
"Asian","Nottingham","8.9"
"Asian","Nottinghamshire","7.2"
"Asian","Oldham","10.9"
"Asian","Oxfordshire","11.6"
"Asian","Peterborough","8.8"
"Asian","Plymouth","11.7"
"Asian","Poole","7.8"
"Asian","Portsmouth","8.7"
"Asian","Reading","9.7"
"Asian","Redbridge","9.4"
"Asian","Redcar and Cleveland","4.9"
"Asian","Richmond upon Thames","7.2"
"Asian","Rochdale","10.0"
"Asian","Rotherham","9.6"
"Asian","Rutland","!"
"Asian","Salford","9.3"
"Asian","Sandwell","7.4"
"Asian","Sefton","7.5"
"Asian","Sheffield","11.1"
"Asian","Shropshire","9.9"
"Asian","Slough","7.9"
"Asian","Solihull","8.2"
"Asian","Somerset","9.6"
"Asian","South Gloucestershire","8.1"
"Asian","South Tyneside","7.9"
"Asian","Southampton","9.3"
"Asian","Southend-on-Sea","8.7"
"Asian","Southwark","11.5"
"Asian","St. Helens","4.6"
"Asian","Staffordshire","10.0"
"Asian","Stockport","12.0"
"Asian","Stockton-on-Tees","8.6"
"Asian","Stoke-on-Trent","10.2"
"Asian","Suffolk","8.8"
"Asian","Sunderland","7.8"
"Asian","Surrey","8.8"
"Asian","Sutton","7.4"
"Asian","Swindon","9.6"
"Asian","Tameside","8.2"
"Asian","Telford and Wrekin","9.0"
"Asian","Thurrock","7.3"
"Asian","Torbay","6.4"
"Asian","Tower Hamlets","8.2"
"Asian","Trafford","9.2"
"Asian","Wakefield","13.5"
"Asian","Walsall","8.2"
"Asian","Waltham Forest","12.5"
"Asian","Wandsworth","9.2"
"Asian","Warrington","10.9"
"Asian","Warwickshire","5.4"
"Asian","West Berkshire","11.4"
"Asian","West Sussex","9.4"
"Asian","Westminster","11.0"
"Asian","Wigan","9.5"
"Asian","Wiltshire","7.2"
"Asian","Windsor and Maidenhead","8.5"
"Asian","Wirral","9.8"
"Asian","Wokingham","8.6"
"Asian","Wolverhampton","6.5"
"Asian","Worcestershire","10.7"
"Asian","York","10.0"
"Black","Barking and Dagenham","4.4"
"Black","Barnet","8.3"
"Black","Barnsley","5.9"
"Black","Bath and North East Somerset","17.3"
"Black","Bedford","7.5"
"Black","Bexley","3.0"
"Black","Birmingham","9.4"
"Black","Blackburn with Darwen","6.7"
"Black","Blackpool","11.9"
"Black","Bolton","5.0"
"Black","Bournemouth","5.1"
