"","Asian","Black","Chinese","Mixed","White","Other"
"Local Authority","%","%","%","%","%","%"
"Barking and Dagenham","8.6","4.4","!","13.8","15.8","10.9"
"Barnet","6.8","8.3","2.1","10.4","8.4","7.7"
"Barnsley","10.3","5.9","NA","12.1","13.3","10.7"
"Bath and North East Somerset","13.3","17.3","NA","14.7","11.3","16.1"
"Bedford","11.7","7.5","5.1","14.4","10.6","10.7"
"Bexley","5.6","3.0","1.8","11.0","12.8","7.9"
"Birmingham","11.6","9.4","3.7","16.7","15.2","9.5"
"Blackburn with Darwen","8.7","6.7","5.2","13.5","14.7","15.8"
"Blackpool","8.2","11.9","4.5","12.8","12.5","11.1"
"Bolton","8.3","5.0","4.3","15.7","14.4","16.6"
"Bournemouth","9.0","5.1","4.8","12.0","11.8","9.9"
"Bracknell Forest","6.1","4.1","!","9.4","8.9","8.2"
"Bradford","11.0","7.6","!","17.8","15.3","10.8"
"Brent","7.2","10.3","!","12.1","11.9","11.1"
"Brighton and Hove","10.1","9.8","4.4","12.6","11.8","12.8"
"Bristol City of","14.3","11.8","3.7","16.8","13.5","13.5"
"Bromley","7.4","6.4","3.7","10.5","9.7","7.7"
"Buckinghamshire","12.1","8.1","2.7","13.6","10.2","12.8"
"Bury","12.1","6.5","!","13.2","11.8","11.4"
"Calderdale","10.0","3.8","!","13.5","9.8","6.9"
"Cambridgeshire","10.2","6.1","1.9","9.7","9.6","10.7"
"Camden","13.4","9.0","2.9","15.1","12.5","9.7"
"Central Bedfordshire","10.3","5.8","2.7","11.4","10.6","14.0"
"Cheshire East","9.9","11.5","!","12.6","9.9","11.8"
"Cheshire West and Chester","12.7","8.8","2.1","13.2","11.5","4.7"
"City of London","!","NA","!","!","!","NA"
"Cornwall","18.2","15.3","8.7","14.0","12.2","19.0"
"Coventry","8.0","4.7","3.2","16.4","14.0","13.5"
"Croydon","8.9","8.5","1.6","13.3","12.5","9.5"
"Cumbria","8.9","8.0","4.6","10.3","10.9","18.0"
"Darlington","12.5","5.1","NA","13.1","13.4","8.0"
"Derby","8.1","6.4","3.0","16.7","14.0","10.0"
"Derbyshire","9.7","8.2","2.3","12.1","10.2","12.2"
"Devon","6.9","6.2","7.4","12.7","10.1","9.1"
"Doncaster","10.1","5.8","3.8","13.8","14.6","15.4"
"Dorset","7.7","8.2","6.1","11.7","11.0","9.8"
"Dudley","10.6","8.9","!","17.4","12.2","11.5"
"Durham","8.5","10.9","1.8","10.9","11.4","14.7"
"Ealing","8.4","8.1","2.9","11.9","10.5","7.6"
"East Riding of Yorkshire","9.5","10.9","12.0","10.7","10.6","7.0"
"East Sussex","7.8","10.7","3.1","14.0","12.4","10.4"
"Enfield","9.6","8.7","1.7","13.0","13.9","10.0"
"Essex","7.1","5.0","3.0","11.2","10.7","6.4"
"Gateshead","9.9","4.0","2.3","9.0","11.2","9.3"
"Gloucestershire","6.6","6.8","8.3","13.4","10.9","12.7"
