"Ethnicity","Geography","boys","Girls "
"Asian","Isle of Wight","100","100"
"Asian","Isles of Scilly","!","!"
"Asian","Islington","77","87"
"Asian","Kensington and Chelsea","80","89"
"Asian","Kent","84","93"
"Asian","Kingston upon Hull, City of","79","91"
"Asian","Kingston upon Thames","80","89"
"Asian","Kirklees","76","88"
"Asian","Knowsley","100","89"
"Asian","Lambeth","82","90"
"Asian","Lancashire","76","87"
"Asian","Leeds","73","86"
"Asian","Leicester","82","86"
"Asian","Leicestershire","87","92"
"Asian","Lewisham","83","93"
"Asian","Lincolnshire","89","97"
"Asian","Liverpool","77","87"
"Asian","Luton","82","88"
"Asian","Manchester","77","87"
"Asian","Medway","84","96"
"Asian","Merton","89","91"
"Asian","Middlesbrough","84","81"
"Asian","Milton Keynes","89","93"
"Asian","Newcastle upon Tyne","84","86"
"Asian","Newham","86","92"
"Asian","Norfolk","84","96"
"Asian","North East Lincolnshire","88","100"
"Asian","North Lincolnshire","76","93"
"Asian","North Somerset","78","93"
"Asian","North Tyneside","83","88"
"Asian","North Yorkshire","74","79"
"Asian","Northamptonshire","82","93"
"Asian","Northumberland","100","95"
"Asian","Nottingham","80","89"
"Asian","Nottinghamshire","86","89"
"Asian","Oldham","72","81"
"Asian","Oxfordshire","79","87"
"Asian","Peterborough","74","84"
"Asian","Plymouth","83","100"
"Asian","Poole","90","94"
"Asian","Portsmouth","76","88"
"Asian","Reading","83","90"
"Asian","Redbridge","84","92"
"Asian","Redcar and Cleveland","100","67"
"Asian","Richmond upon Thames","86","92"
"Asian","Rochdale","78","88"
"Asian","Rotherham","73","92"
"Asian","Rutland","100","100"
"Asian","Salford","89","92"
"Asian","Sandwell","79","85"
"Asian","Sefton","76","83"
"Asian","Sheffield","71","85"
"Asian","Shropshire","61","76"
"Asian","Slough","85","92"
"Asian","Solihull","86","91"
"Asian","Somerset","79","84"
"Asian","South Gloucestershire","88","91"
"Asian","South Tyneside","90","88"
"Asian","Southampton","83","91"
"Asian","Southend-on-Sea","83","92"
"Asian","Southwark","79","92"
"Asian","St. Helens","92","83"
"Asian","Staffordshire","82","88"
"Asian","Stockport","83","82"
"Asian","Stockton-on-Tees","83","90"
"Asian","Stoke-on-Trent","78","89"
"Asian","Suffolk","90","92"
"Asian","Sunderland","86","85"
"Asian","Surrey","89","92"
"Asian","Sutton","89","94"
"Asian","Swindon","79","93"
"Asian","Tameside","81","80"
"Asian","Telford and Wrekin","78","87"
"Asian","Thurrock","84","94"
"Asian","Torbay","78","93"
"Asian","Tower Hamlets","81","87"
"Asian","Trafford","83","90"
"Asian","Wakefield","71","87"
"Asian","Walsall","85","91"
"Asian","Waltham Forest","87","90"
"Asian","Wandsworth","87","89"
"Asian","Warrington","83","86"
"Asian","Warwickshire","86","94"
"Asian","West Berkshire","86","90"
"Asian","West Sussex","79","90"
"Asian","Westminster","88","90"
"Asian","Wigan","77","89"
"Asian","Wiltshire","86","83"
"Asian","Windsor and Maidenhead","84","93"
"Asian","Wirral","75","92"
"Asian","Wokingham","86","93"
"Asian","Wolverhampton","85","91"
"Asian","Worcestershire","78","87"
"Asian","York","84","88"
"Black","Barking and Dagenham","80","91"
"Black","Barnet","82","90"
"Black","Barnsley","86","78"
"Black","Bath and North East Somerset","100","100"
"Black","Bedford","75","90"
"Black","Bexley","87","93"
"Black","Birmingham","79","86"
"Black","Blackburn with Darwen","64","100"
"Black","Blackpool","67","NA"
"Black","Bolton","73","81"
"Black","Bournemouth","80","90"
"Black","Bracknell Forest","86","100"
"Black","Bradford","77","91"
"Black","Brent","80","88"
"Black","Brighton and Hove","80","96"
"Black","Bristol, City of","79","87"
"Black","Bromley","83","86"
"Black","Buckinghamshire","82","90"
"Black","Bury","77","90"
"Black","Calderdale","86","86"
"Black","Cambridgeshire","80","91"
"Black","Camden","84","86"
"Black","Central Bedfordshire","81","100"
"Black","Cheshire East","64","80"
"Black","Cheshire West and Chester","60","88"
"Black","City of London","!","!"
"Black","Cornwall","100","67"
"Black","County Durham","100","100"
"Black","Coventry","81","89"
"Black","Croydon","83","88"
"Black","Cumbria","50","100"
"Black","Darlington","67","100"
"Black","Derby","85","92"
"Black","Derbyshire","85","80"
"Black","Devon","89","78"
"Black","Doncaster","71","84"
"Black","Dorset","67","100"
"Black","Dudley","68","80"
"Black","Ealing","81","87"
"Black","East Riding of Yorkshire","100","NA"
"Black","East Sussex","74","83"
"Black","Enfield","75","82"
"Black","Essex","79","93"
"Black","Gateshead","81","88"
"Black","Gloucestershire","80","79"
"Black","Greenwich","83","91"
"Black","Hackney","81","90"
"Black","Halton","100","100"
"Black","Hammersmith and Fulham","88","86"
"Black","Hampshire","82","87"
"Black","Haringey","81","86"
"Black","Harrow","78","83"
"Black","Hartlepool","67","100"
"Black","Havering","86","88"
"Black","Herefordshire, County of","50","89"
"Black","Hertfordshire","77","90"
"Black","Hillingdon","85","90"
"Black","Hounslow","74","86"
"Black","Isle of Wight","100","NA"
"Black","Isles of Scilly","!","!"
"Black","Islington","78","88"
"Black","Kensington and Chelsea","84","88"
"Black","Kent","88","91"
"Black","Kingston upon Hull, City of","56","80"
"Black","Kingston upon Thames","80","83"
"Black","Kirklees","80","82"
"Black","Knowsley","78","90"
"Black","Lambeth","80","88"
"Black","Lancashire","84","80"
"Black","Leeds","76","84"
"Black","Leicester","79","90"
"Black","Leicestershire","82","82"
"Black","Lewisham","76","87"
"Black","Lincolnshire","59","93"
"Black","Liverpool","82","86"
"Black","Luton","79","89"
"Black","Manchester","81","87"
"Black","Medway","83","94"
"Black","Merton","79","84"
"Black","Middlesbrough","76","88"
"Black","Milton Keynes","86","92"
"Black","Newcastle upon Tyne","81","90"
"Black","Newham","83","92"
"Black","Norfolk","69","83"
"Black","North East Lincolnshire","100","NA"
"Black","North Lincolnshire","78","75"
"Black","North Somerset","67","100"
"Black","North Tyneside","86","79"
"Black","North Yorkshire","54","90"
"Black","Northamptonshire","79","90"
"Black","Northumberland","50","NA"
"Black","Nottingham","80","88"
"Black","Nottinghamshire","72","97"
"Black","Oldham","80","82"
"Black","Oxfordshire","75","89"
"Black","Peterborough","77","76"
"Black","Plymouth","85","89"
"Black","Poole","100","100"
"Black","Portsmouth","67","85"
"Black","Reading","77","92"
"Black","Redbridge","79","87"
"Black","Redcar and Cleveland","67","100"
"Black","Richmond upon Thames","68","88"
"Black","Rochdale","80","84"
"Black","Rotherham","78","84"
"Black","Rutland","75","50"
"Black","Salford","88","90"
"Black","Sandwell","76","84"
"Black","Sefton","100","100"
"Black","Sheffield","77","83"
"Black","Shropshire","100","100"
"Black","Slough","82","94"
"Black","Solihull","78","95"
"Black","Somerset","83","80"
"Black","South Gloucestershire","83","78"
"Black","South Tyneside","83","100"
"Black","Southampton","90","91"
"Black","Southend-on-Sea","92","93"
"Black","Southwark","84","88"
"Black","St. Helens","100","100"
"Black","Staffordshire","78","67"
"Black","Stockport","78","84"
"Black","Stockton-on-Tees","67","93"
"Black","Stoke-on-Trent","73","80"
"Black","Suffolk","77","90"
"Black","Sunderland","93","73"
"Black","Surrey","88","88"
"Black","Sutton","86","94"
"Black","Swindon","82","95"
"Black","Tameside","51","82"
"Black","Telford and Wrekin","89","83"
"Black","Thurrock","86","93"
"Black","Torbay","67","0"
"Black","Tower Hamlets","78","87"
"Black","Trafford","75","85"
"Black","Wakefield","73","87"
"Black","Walsall","82","88"
"Black","Waltham Forest","80","90"
"Black","Wandsworth","80","87"
"Black","Warrington","67","100"
"Black","Warwickshire","82","97"
"Black","West Berkshire","85","75"
"Black","West Sussex","63","86"
"Black","Westminster","79","92"
"Black","Wigan","74","82"
"Black","Wiltshire","66","86"
