"Ethnicity","geography","%"
"All","Barking and Dagenham","82"
"All","Barnet","86"
"All","Barnsley","80"
"All","Bath and North East Somerset","82"
"All","Bedford","80"
"All","Bexley","87"
"All","Birmingham","81"
"All","Blackburn with Darwen","82"
"All","Blackpool","81"
"All","Bolton","82"
"All","Bournemouth","83"
"All","Bracknell Forest","86"
"All","Bradford","81"
"All","Brent","83"
"All","Brighton and Hove","83"
"All","Bristol, City of","83"
"All","Bromley","88"
"All","Buckinghamshire","84"
"All","Bury","82"
"All","Calderdale","82"
"All","Cambridgeshire","81"
"All","Camden","83"
"All","Central Bedfordshire","84"
"All","Cheshire East","84"
"All","Cheshire West and Chester","80"
"All","City of London","!"
"All","Cornwall","82"
"All","County Durham","84"
"All","Coventry","81"
"All","Croydon","85"
"All","Cumbria","82"
"All","Darlington","86"
"All","Derby","82"
"All","Derbyshire","81"
"All","Devon","84"
"All","Doncaster","79"
"All","Dorset","82"
"All","Dudley","80"
"All","Ealing","86"
"All","East Riding of Yorkshire","82"
"All","East Sussex","83"
"All","Enfield","80"
"All","Essex","84"
"All","Gateshead","84"
"All","Gloucestershire","81"
"All","Greenwich","84"
"All","Hackney","86"
"All","Halton","79"
"All","Hammersmith and Fulham","88"
"All","Hampshire","84"
"All","Haringey","85"
"All","Harrow","87"
"All","Hartlepool","82"
"All","Havering","85"
"All","Herefordshire, County of","84"
"All","Hertfordshire","84"
"All","Hillingdon","85"
"All","Hounslow","84"
"All","Isle of Wight","81"
"All","Isles of Scilly","!"
"All","Islington","84"
"All","Kensington and Chelsea","86"
"All","Kent","82"
"All","Kingston upon Hull, City of","80"
"All","Kingston upon Thames","86"
"All","Kirklees","80"
"All","Knowsley","79"
"All","Lambeth","85"
"All","Lancashire","82"
"All","Leeds","79"
"All","Leicester","79"
"All","Leicestershire","83"
"All","Lewisham","84"
"All","Lincolnshire","81"
"All","Liverpool","79"
"All","Luton","82"
"All","Manchester","80"
"All","Medway","82"
"All","Merton","85"
"All","Middlesbrough","80"
"All","Milton Keynes","85"
"All","Newcastle upon Tyne","83"
"All","Newham","88"
"All","Norfolk","80"
"All","North East Lincolnshire","82"
"All","North Lincolnshire","83"
"All","North Somerset","86"
"All","North Tyneside","84"
"All","North Yorkshire","81"
"All","Northamptonshire","83"
"All","Northumberland","85"
"All","Nottingham","79"
"All","Nottinghamshire","80"
"All","Oldham","77"
"All","Oxfordshire","82"
"All","Peterborough","76"
"All","Plymouth","82"
"All","Poole","86"
"All","Portsmouth","79"
"All","Reading","83"
"All","Redbridge","85"
"All","Redcar and Cleveland","82"
"All","Richmond upon Thames","87"
"All","Rochdale","82"
"All","Rotherham","81"
"All","Rutland","85"
"All","Salford","82"
"All","Sandwell","79"
"All","Sefton","83"
"All","Sheffield","79"
"All","Shropshire","82"
"All","Slough","86"
"All","Solihull","86"
"All","Somerset","81"
"All","South Gloucestershire","85"
"All","South Tyneside","83"
"All","Southampton","82"
"All","Southend-on-Sea","82"
"All","Southwark","85"
"All","St. Helens","81"
"All","Staffordshire","85"
"All","Stockport","82"
"All","Stockton-on-Tees","84"
"All","Stoke-on-Trent","80"
"All","Suffolk","81"
"All","Sunderland","82"
"All","Surrey","84"
"All","Sutton","87"
"All","Swindon","82"
"All","Tameside","79"
"All","Telford and Wrekin","85"
"All","Thurrock","84"
"All","Torbay","86"
"All","Tower Hamlets","82"
"All","Trafford","86"
"All","Wakefield","78"
"All","Walsall","83"
"All","Waltham Forest","86"
"All","Wandsworth","88"
"All","Warrington","84"
"All","Warwickshire","84"
"All","West Berkshire","81"
"All","West Sussex","82"
"All","Westminster","86"
"All","Wigan","84"
"All","Wiltshire","81"
"All","Windsor and Maidenhead","86"
"All","Wirral","81"
"All","Wokingham","86"
"All","Wolverhampton","82"
"All","Worcestershire","82"
"All","York","85"
"Asian","Barking and Dagenham","87"
"Asian","Barnet","87"
"Asian","Barnsley","90"
"Asian","Bath and North East Somerset","89"
"Asian","Bedford","81"
"Asian","Bexley","93"
"Asian","Birmingham","82"
"Asian","Blackburn with Darwen","86"
"Asian","Blackpool","94"
"Asian","Bolton","86"
"Asian","Bournemouth","91"
"Asian","Bracknell Forest","92"
"Asian","Bradford","84"
"Asian","Brent","87"
"Asian","Brighton and Hove","80"
"Asian","Bristol, City of","81"
"Asian","Bromley","94"
"Asian","Buckinghamshire","84"
"Asian","Bury","82"
"Asian","Calderdale","82"
"Asian","Cambridgeshire","89"
"Asian","Camden","81"
"Asian","Central Bedfordshire","91"
"Asian","Cheshire East","85"
"Asian","Cheshire West and Chester","93"
"Asian","City of London","!"
"Asian","Cornwall","82"
"Asian","County Durham","79"
"Asian","Coventry","86"
"Asian","Croydon","90"
"Asian","Cumbria","73"
"Asian","Darlington","81"
"Asian","Derby","86"
"Asian","Derbyshire","82"
"Asian","Devon","80"
"Asian","Doncaster","82"
"Asian","Dorset","89"
"Asian","Dudley","81"
"Asian","Ealing","87"
"Asian","East Riding of Yorkshire","90"
"Asian","East Sussex","87"
"Asian","Enfield","85"
"Asian","Essex","89"
"Asian","Gateshead","94"
"Asian","Gloucestershire","87"
"Asian","Greenwich","91"
"Asian","Hackney","89"
"Asian","Halton","100"
"Asian","Hammersmith and Fulham","92"
"Asian","Hampshire","89"
"Asian","Haringey","90"
"Asian","Harrow","92"
"Asian","Hartlepool","89"
"Asian","Havering","88"
"Asian","Herefordshire, County of","100"
"Asian","Hertfordshire","88"
"Asian","Hillingdon","90"
"Asian","Hounslow","88"
"Asian","Isle of Wight","100"
"Asian","Isles of Scilly","!"
"Asian","Islington","82"
"Asian","Kensington and Chelsea","84"
"Asian","Kent","88"
"Asian","Kingston upon Hull, City of","86"
"Asian","Kingston upon Thames","84"
"Asian","Kirklees","82"
"Asian","Knowsley","96"
"Asian","Lambeth","86"
"Asian","Lancashire","81"
"Asian","Leeds","80"
"Asian","Leicester","84"
"Asian","Leicestershire","90"
"Asian","Lewisham","88"
"Asian","Lincolnshire","93"
"Asian","Liverpool","82"
"Asian","Luton","85"
"Asian","Manchester","82"
"Asian","Medway","90"
"Asian","Merton","90"
"Asian","Middlesbrough","82"
"Asian","Milton Keynes","91"
"Asian","Newcastle upon Tyne","85"
"Asian","Newham","89"
"Asian","Norfolk","90"
