"","All","","White","","Other than White",""
"Age","%","Number of people unemployed","%","Number of people unemployed","%","Number of people unemployed"
"All","4","1,287,300","4","996,900","7","289,900"
"16-24","11","468,300","10","364,800","19","103,500"
"25-49","3","548,000","3","398,500","5","149,300"
"50-64","3","251,300","3","216,100","4","35,100"
"65+","2","19,700","1","17,500","3","1,900"
