"","Higher managerial and professional","Intermediate occupations","Lower managerial and professional","Lower supervisory and technical","Never worked, unemployed, and nec","Routine occupations","Semi-routine occupations","Small employers and own account workers"
"Ethnicity","","","","","","","",""
"All","7.98","7.90","8.03","7.85","7.68","7.66","7.77","7.99"
"Arab","8.30","?","7.77","?","7.86","?","7.42","?"
"Bangladeshi","8.16","8.01","7.53","7.98","7.74","7.72","7.47","7.94"
"Chinese","7.98","7.45","7.62","?","7.84","?","7.40","7.85"
"Indian","7.94","7.89","7.96","7.83","7.78","7.74","7.70","8.01"
"Pakistani","7.90","7.98","7.95","7.78","7.85","7.68","7.79","7.75"
"Asian other","7.92","7.83","7.94","7.57","7.65","7.59","7.87","7.56"
"Black","7.87","7.80","7.87","7.47","7.57","7.57","7.54","7.66"
"Mixed","7.85","7.95","7.87","7.50","7.59","7.26","7.46","7.65"
"White","7.98","7.91","8.05","7.86","7.68","7.66","7.80","8.02"
"White Gypsy/Traveller","?","?","?","?","?","?","?","?"
"Other","8.11","7.77","7.92","7.94","7.51","7.64","7.45","7.83"
