"Measure","Year","Ethnicity","Sex","Threshold","Mean","Value","Upper Confidence Interval","Lower Confidence Interval","Sample Size"
"Worthwhile","2012","All","All","All","7.7","N/A","7.71","7.68","165160"
"Worthwhile","2013","All","All","All","7.73","N/A","7.74","7.71","164940"
"Worthwhile","2014","All","All","All","7.8","N/A","7.81","7.79","164580"
"Worthwhile","2015","All","All","All","7.84","N/A","7.85","7.83","160200"
"Worthwhile","2016","All","All","All","7.85","N/A","7.87","7.84","149520"
"Worthwhile","2017","All","All","All","7.88","N/A","7.89","7.87","150450"
"Worthwhile","2018","All","All","All","7.88","N/A","7.89","7.87","146580"
"Worthwhile","2018","All","All","Low","N/A","3.71","3.84","3.57","-"
"Worthwhile","2018","All","All","Medium","N/A","12.14","12.38","11.89","-"
"Worthwhile","2018","All","All","High","N/A","48.16","48.52","47.8","-"
"Worthwhile","2018","All","All","Very High","N/A","36","36.35","35.65","-"
"Worthwhile","2012","All","All","Low","N/A","4.38","4.51","4.25","-"
"Worthwhile","2013","All","All","Low","N/A","4.31","4.45","4.18","-"
"Worthwhile","2014","All","All","Low","N/A","3.96","4.09","3.83","-"
"Worthwhile","2015","All","All","Low","N/A","3.56","3.68","3.44","-"
"Worthwhile","2016","All","All","Low","N/A","3.62","3.74","3.49","-"
"Worthwhile","2017","All","All","Low","N/A","3.63","3.77","3.5","-"
"Worthwhile","2012","All","All","Medium","N/A","14.87","15.11","14.64","-"
"Worthwhile","2013","All","All","Medium","N/A","14.15","14.39","13.92","-"
"Worthwhile","2014","All","All","Medium","N/A","13.08","13.3","12.85","-"
"Worthwhile","2015","All","All","Medium","N/A","12.76","12.99","12.53","-"
"Worthwhile","2016","All","All","Medium","N/A","12.47","12.71","12.23","-"
"Worthwhile","2017","All","All","Medium","N/A","12.06","12.29","11.82","-"
"Worthwhile","2012","All","All","High","N/A","49.26","49.58","48.93","-"
"Worthwhile","2013","All","All","High","N/A","49.21","49.53","48.88","-"
"Worthwhile","2014","All","All","High","N/A","49.1","49.43","48.77","-"
"Worthwhile","2015","All","All","High","N/A","49.22","49.55","48.88","-"
"Worthwhile","2016","All","All","High","N/A","48.99","49.34","48.64","-"
"Worthwhile","2017","All","All","High","N/A","48.61","48.96","48.26","-"
"Worthwhile","2012","All","All","Very High","N/A","31.5","31.8","31.19","-"
