"Gender","Ethnicity","Expected standard","Higher standard"
"Boys","All","75","24"
"Boys","Asian","76","26"
"Boys","Bangladeshi","74","24"
"Boys","Indian","83","34"
"Boys","Pakistani","71","19"
"Boys","Asian other","77","29"
"Boys","Black","71","20"
"Boys","Black African","73","21"
"Boys","Black Caribbean","65","14"
"Boys","Black other","69","19"
"Boys","Chinese","90","52"
"Boys","Mixed","75","25"
"Boys","Mixed White/Asian","81","32"
"Boys","Mixed White/Black African","75","23"
"Boys","Mixed White/Black Caribbean","69","17"
"Boys","Mixed other","76","27"
"Boys","White","75","24"
"Boys","White British","75","24"
"Boys","White Irish","78","29"
"Boys","Gypsy/Roma","34","4"
"Boys","Irish Traveller","34","4"
"Boys","White other","74","24"
"Boys","Other","71","21"
"Boys","Unknown","58","17"
"Girls","All","77","19"
"Girls","Asian","80","23"
"Girls","Bangladeshi","79","22"
"Girls","Indian","87","31"
"Girls","Pakistani","75","16"
"Girls","Asian other","81","25"
"Girls","Black","77","18"
"Girls","Black African","79","19"
"Girls","Black Caribbean","71","12"
"Girls","Black other","75","16"
"Girls","Chinese","92","45"
"Girls","Mixed","78","21"
"Girls","Mixed White/Asian","83","27"
"Girls","Mixed White/Black African","77","20"
"Girls","Mixed White/Black Caribbean","72","15"
"Girls","Mixed other","78","21"
"Girls","White","77","19"
"Girls","White British","77","19"
"Girls","White Irish","80","23"
"Girls","Gypsy/Roma","34","4"
"Girls","Irish Traveller","41","4"
"Girls","White other","76","19"
"Girls","Other","72","17"
"Girls","Unknown","59","14"
