"","All","Children","Working-age","Pensioners"
"Ethnicity","%","%","%","%"
"All","22","30","21","17"
"Asian","37","45","34","33"
"Bangladeshi","55","68","49","?"
"Chinese","30","29","30","?"
"Indian","24","26","21","33"
"Pakistani","47","53","44","38"
"Asian other","42","51","39","?"
"Black","40","48","36","30"
"Mixed","32","44","27","?"
"White","19","26","18","16"
"White British","19","25","18","16"
"White other","26","35","23","23"
"Other","40","51","36","?"
