"Date","Ethnicity","%"
"2011","White","3.3"
"2011","Other than White","4.5"
"2012","White","3.4"
"2012","Other than White","4.6"
"2013","White","3.0"
"2013","Other than White","4.1"
"2014","White","2.1"
"2014","Other than White","3.0"
"2015","White","1.5"
"2015","Other than White","2.3"
"2016","White","1.1"
"2016","Other than White","1.9"
"2017","White","1.0"
"2017","Other than White","1.6"
