"","Wages/salaries","Self-employment","State pension","Private pensions","Disability benefits","Other benefits","Tax credits","Investments","Other"
"Ethnicity","%","%","%","%","%","%","%","%","%"
"All","64","9","7","8","1","4","1","1","3"
"Asian","70","10","3","2","1","5","3","1","7"
"Bangladeshi","60","6","3","1","2","13","9","~0","5"
"Chinese","57","11","2","1","~0","3","1","1","24"
"Indian","78","8","3","2","1","2","1","1","4"
"Pakistani","59","14","3","1","2","8","7","~0","5"
"Asian other","70","10","2","2","~0","5","2","1","7"
"Black","68","8","3","2","1","7","4","~0","6"
"Mixed","73","6","2","3","1","5","2","2","7"
"White","63","9","8","9","2","4","1","2","3"
"White British","62","8","8","10","2","4","1","2","3"
"White other","74","14","2","2","~0","3","1","1","4"
"Other","71","9","2","2","1","6","3","1","5"
