"","On-call ('retained') firefighters","","Full-time ('Wholetime') firefighters",""
"Ethnicity","%","Number","%","Number"
"Asian","0.2","21","0.9","182"
"Black","0.3","30","1.8","390"
"Mixed","0.6","64","2.2","467"
"White","98.7","10,368","94.5","19,978"
"Other inc Chinese","0.2","17","0.6","122"
"Unknown","N/A","1,713","N/A","1,610"
