"Role","Ethnicity","% 2011","Number 2011","% 2019","Number 2019"
"Firefighters","Asian","0.5","212","0.7","219"
"Firefighters","Black","1.3","519","1.3","427"
"Firefighters","Mixed","1.2","473","1.8","577"
"Firefighters","White","96.5","38,061","95.7","30,285"
"Firefighters","Other inc Chinese","0.4","174","0.5","145"
"Firefighters","Unknown","N/A","3,921","N/A","3,370"
"Fire control","Asian","0.3","5","0.4","4"
"Fire control","Black","0.6","8","0.8","8"
"Fire control","Mixed","1.2","17","1.3","14"
"Fire control","White","97.7","1,407","97.5","1,034"
"Fire control","Other inc Chinese","0.2","3","0.1","1"
"Fire control","Unknown","N/A","116","N/A","73"
"Support Staff","Asian","2.6","224","2.8","207"
"Support Staff","Black","2.5","215","3.0","221"
"Support Staff","Mixed","0.9","82","1.3","93"
"Support Staff","White","93.3","8,143","92.0","6,693"
"Support Staff","Other inc Chinese","0.7","60","0.9","64"
"Support Staff","Unknown","N/A","624","N/A","750"
"All Staff","Asian","0.9","441","1.1","430"
"All Staff","Black","1.5","742","1.6","656"
"All Staff","Mixed","1.2","572","1.7","684"
"All Staff","White","96.0","47,611","95.0","38,012"
"All Staff","Other inc Chinese","0.5","237","0.5","210"
"All Staff","Unknown","N/A","4,661","N/A","4,193"
