"","Firefighters","","","","Fire control","","","","Support Staff","","","","All Staff","","",""
"Ethnicity","% 2011","Number 2011","% 2019","Number 2019","% 2011","Number 2011","% 2019","Number 2019","% 2011","Number 2011","% 2019","Number 2019","% 2011","Number 2011","% 2019","Number 2019"
"Asian","0.5","212","0.7","219","0.3","5","0.4","4","2.6","224","2.8","207","0.9","441","1.1","430"
"Black","1.3","519","1.3","427","0.6","8","0.8","8","2.5","215","3.0","221","1.5","742","1.6","656"
"Mixed","1.2","473","1.8","577","1.2","17","1.3","14","0.9","82","1.3","93","1.2","572","1.7","684"
"White","96.5","38,061","95.7","30,285","97.7","1,407","97.5","1,034","93.3","8,143","92.0","6,693","96.0","47,611","95.0","38,012"
"Other inc Chinese","0.4","174","0.5","145","0.2","3","0.1","1","0.7","60","0.9","64","0.5","237","0.5","210"
"Unknown","N/A","3,921","N/A","3,370","N/A","116","N/A","73","N/A","624","N/A","750","N/A","4,661","N/A","4,193"
