"Ethnicity","Local Authority","Rate","Number"
"Asian","Barking and Dagenham","0.48","51"
"Asian","Barnet","1.40","106"
"Asian","Barnsley","0.50","1"
"Asian","Bath and North East Somerset","1.19","5"
"Asian","Bedford","1.55","69"
"Asian","Bexley","0.83","31"
"Asian","Birmingham","2.37","1,784"
"Asian","Blackburn with Darwen","1.36","164"
"Asian","Blackpool","1.20","5"
"Asian","Bolton","1.22","147"
"Asian","Bournemouth","0.82","7"
"Asian","Bracknell Forest","0.50","5"
"Asian","Bradford","4.08","1,751"
"Asian","Brent","1.22","177"
"Asian","Brighton and Hove","1.46","16"
"Asian","Bristol City of","2.16","100"
"Asian","Bromley","0.83","28"
"Asian","Buckinghamshire","2.87","442"
"Asian","Bury","2.45","106"
"Asian","Calderdale","3.41","218"
"Asian","Cambridgeshire","0.97","32"
"Asian","Camden","1.88","81"
"Asian","Central Bedfordshire","1.42","16"
"Asian","Cheshire East","0.90","9"
"Asian","Cheshire West and Chester","0.13","1"
"Asian","City of London","0.91","1"
"Asian","Cornwall","2.70","6"
"Asian","Coventry","1.34","155"
"Asian","Croydon","0.86","78"
"Asian","Cumbria","1.66","8"
"Asian","Darlington","1.03","5"
"Asian","Derby","3.05","253"
"Asian","Derbyshire","2.81","33"
"Asian","Devon","1.35","9"
"Asian","Doncaster","2.21","32"
"Asian","Dorset","4.26","21"
"Asian","Dudley","7.20","362"
"Asian","Durham","1.35","7"
"Asian","Ealing","1.13","182"
"Asian","East Riding of Yorkshire","3.00","7"
"Asian","East Sussex","0.60","8"
"Asian","Enfield","1.50","72"
"Asian","Essex","1.53","95"
"Asian","Gateshead","3.24","23"
"Asian","Gloucestershire","1.58","45"
"Asian","Greenwich","0.80","31"
"Asian","Hackney","2.96","124"
"Asian","Halton","0.00","0"
"Asian","Hammersmith and Fulham","2.04","31"
"Asian","Hampshire","1.33","73"
"Asian","Haringey","0.70","16"
"Asian","Harrow","0.93","164"
"Asian","Hartlepool","2.47","9"
"Asian","Havering","1.33","41"
"Asian","Herefordshire","0.73","1"
"Asian","Hertfordshire","1.32","213"
"Asian","Hillingdon","0.86","128"
"Asian","Hounslow","1.43","216"
"Asian","Isle of Wight","0.81","1"
"Asian","Isles Of Scilly","0.00","0"
"Asian","Islington","1.92","41"
"Asian","Kensington and Chelsea","4.34","22"
"Asian","Kent","1.11","109"
"Asian","Kingston upon Hull City of","1.10","7"
"Asian","Kingston upon Thames","1.26","61"
"Asian","Kirklees","2.27","427"
"Asian","Knowsley","0.78","2"
"Asian","Lambeth","0.38","7"
"Asian","Lancashire","3.03","601"
"Asian","Leeds","2.44","371"
"Asian","Leicester","1.40","354"
"Asian","Leicestershire","1.35","108"
"Asian","Lewisham","0.95","23"
"Asian","Lincolnshire","0.54","8"
"Asian","Liverpool","0.72","22"
"Asian","Luton","2.98","522"
"Asian","Manchester","2.97","600"
"Asian","Medway","0.69","17"
"Asian","Merton","0.58","33"
"Asian","Middlesbrough","3.81","101"
"Asian","Milton Keynes","1.38","82"
"Asian","Newcastle upon Tyne","1.14","59"
"Asian","Newham","1.67","499"
"Asian","Norfolk","2.43","43"
"Asian","North East Lincolnshire","3.65","7"
"Asian","North Lincolnshire","2.94","27"
"Asian","North Somerset","1.65","6"
"Asian","North Tyneside","0.83","6"
"Asian","North Yorkshire","1.61","25"
"Asian","Northamptonshire","1.28","70"
"Asian","Northumberland","1.63","10"
"Asian","Nottingham","2.67","219"
"Asian","Nottinghamshire","0.96","33"
"Asian","Oldham","2.90","419"
"Asian","Oxfordshire","2.33","133"
"Asian","Peterborough","2.41","158"
"Asian","Plymouth","0.00","0"
"Asian","Poole","0.54","3"
"Asian","Portsmouth","1.62","27"
"Asian","Reading","1.24","65"
"Asian","Redbridge","2.32","736"
"Asian","Redcar and Cleveland","10.22","19"
"Asian","Richmond upon Thames","1.08","24"
"Asian","Rochdale","2.01","182"
"Asian","Rotherham","3.86","136"
"Asian","Rutland","0.00","0"
"Asian","Salford","1.52","16"
"Asian","Sandwell","1.41","255"
"Asian","Sefton","0.00","0"
"Asian","Sheffield","3.84","380"
"Asian","Shropshire","1.01","4"
"Asian","Slough","1.50","236"
"Asian","Solihull","1.86","90"
"Asian","Somerset","1.51","12"
"Asian","South Gloucestershire","1.51","21"
"Asian","South Tyneside","0.73","6"
"Asian","Southampton","0.74","31"
"Asian","Southend-on-Sea","2.10","50"
"Asian","Southwark","0.58","13"
"Asian","St. Helens","0.36","1"
"Asian","Staffordshire","3.12","157"
"Asian","Stockport","1.88","57"
"Asian","Stockton-on-Tees","3.61","61"
"Asian","Stoke-on-Trent","6.46","404"
"Asian","Suffolk","1.26","24"
"Asian","Sunderland","1.38","22"
"Asian","Surrey","1.67","182"
"Asian","Sutton","0.72","61"
"Asian","Swindon","0.75","31"
"Asian","Tameside","2.26","93"
"Asian","Telford and Wrekin","2.01","42"
"Asian","Thurrock","0.70","12"
"Asian","Torbay","0.00","0"
"Asian","Tower Hamlets","2.01","590"
"Asian","Trafford","0.92","56"
"Asian","Wakefield","9.44","202"
"Asian","Walsall","3.19","375"
"Asian","Waltham Forest","2.40","259"
"Asian","Wandsworth","0.70","42"
"Asian","Warrington","0.43","4"
"Asian","Warwickshire","0.77","39"
"Asian","West Berkshire","1.18","11"
"Asian","West Sussex","2.07","119"
"Asian","Westminster","2.89","90"
"Asian","Wigan","1.12","7"
"Asian","Wiltshire","0.45","5"
"Asian","Windsor and Maidenhead","2.05","67"
"Asian","Wirral","1.25","16"
"Asian","Wokingham","0.64","24"
"Asian","Wolverhampton","1.74","192"
"Asian","Worcestershire","2.26","70"
"Asian","York","0.37","2"
"Black","Barking and Dagenham","2.17","253"
