"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Reason","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"Bullying","1.6","306","1.5","384","2.0","4","1.0","314","0.7","2,350","1.7","92"
"Damage","2.3","425","1.6","415","2.0","4","1.9","592","1.9","6,724","1.8","97"
"Drug and alcohol related","3.8","702","1.9","500","5.9","12","2.9","893","2.6","8,986","2.5","131"
"Persistent disruptive behaviour","14.9","2,783","19.0","4,899","11.2","23","26.7","8,207","33.9","118,077","18.8","1,003"
"Physical assault against a pupil","28.1","5,244","26.6","6,868","24.4","50","19.1","5,860","14.5","50,587","24.4","1,306"
"Physical assault against an adult","3.8","708","7.7","1,990","7.3","15","7.9","2,436","6.7","23,207","4.4","237"
"Racist abuse","1.6","299","0.9","223","4.4","9","0.8","241","1.1","3,949","1.6","85"
"Sexual Misconduct","0.9","163","1.2","299","1.0","2","0.5","154","0.3","1,161","1.0","54"
"Theft","1.9","363","2.4","624","1.5","3","1.0","296","0.7","2,475","1.5","78"
"Verbal abuse/ threatening behaviour against a pupil","5.6","1,039","5.7","1,470","4.4","9","4.5","1,372","3.4","11,919","5.0","266"
"Verbal abuse/ threatening behaviour against an adult","12.2","2,282","10.8","2,797","9.3","19","14.7","4,515","15.9","55,559","11.0","586"
"Other","23.3","4,343","20.7","5,331","26.8","55","19.1","5,868","18.2","63,344","26.4","1,408"
