"Group","Ethnicity","%","Pupils"
"Boys: free school meals","All","19.2","33,697"
"Boys: free school meals","Asian","33.6","4,331"
"Boys: free school meals","Bangladeshi","38.4","1,093"
"Boys: free school meals","Indian","40.7","457"
"Boys: free school meals","Pakistani","29.3","2,225"
"Boys: free school meals","Asian other","35.6","556"
"Boys: free school meals","Black","23.4","2,880"
"Boys: free school meals","Black African","29.2","1,774"
"Boys: free school meals","Black Caribbean","11.2","734"
"Boys: free school meals","Black other","20.2","372"
"Boys: free school meals","Chinese","59.1","44"
"Boys: free school meals","Mixed","21.6","2,213"
"Boys: free school meals","Mixed White/Asian","24.9","357"
"Boys: free school meals","Mixed White/Black African","24.5","286"
"Boys: free school meals","Mixed White/Black Caribbean","15.5","811"
"Boys: free school meals","Mixed other","25.3","759"
"Boys: free school meals","White","15.0","22,720"
"Boys: free school meals","White British","14.4","21,285"
"Boys: free school meals","White Irish","19.4","93"
"Boys: free school meals","Gypsy/Roma","2.9","170"
"Boys: free school meals","Irish Traveller","3.1","32"
"Boys: free school meals","White other","27.3","1,140"
"Boys: free school meals","Other","34.4","1,000"
"Boys: free school meals","Unknown","17.7","509"
"Boys: no free school meals","All","43.0","233,209"
"Boys: no free school meals","Asian","50.7","24,201"
"Boys: no free school meals","Bangladeshi","50.4","3,527"
"Boys: no free school meals","Indian","60.8","6,995"
"Boys: no free school meals","Pakistani","40.3","9,411"
"Boys: no free school meals","Asian other","57.2","4,268"
"Boys: no free school meals","Black","37.3","11,454"
"Boys: no free school meals","Black African","42.6","7,369"
"Boys: no free school meals","Black Caribbean","25.1","2,621"
"Boys: no free school meals","Black other","32.2","1,464"
"Boys: no free school meals","Chinese","72.4","859"
"Boys: no free school meals","Mixed","44.9","10,234"
"Boys: no free school meals","Mixed White/Asian","56.9","2,436"
"Boys: no free school meals","Mixed White/Black African","40.7","1,188"
"Boys: no free school meals","Mixed White/Black Caribbean","31.4","2,739"
"Boys: no free school meals","Mixed other","48.1","3,871"
"Boys: no free school meals","White","42.2","179,763"
"Boys: no free school meals","White British","42.4","166,521"
"Boys: no free school meals","White Irish","58.9","739"
"Boys: no free school meals","Gypsy/Roma","3.2","347"
"Boys: no free school meals","Irish Traveller","17.4","23"
"Boys: no free school meals","White other","39.7","12,133"
"Boys: no free school meals","Other","42.0","3,462"
"Boys: no free school meals","Unknown","33.2","3,236"
"Girls: free school meals","All","24.1","32,668"
"Girls: free school meals","Asian","36.7","4,279"
"Girls: free school meals","Bangladeshi","39.4","1,163"
"Girls: free school meals","Indian","45.2","500"
"Girls: free school meals","Pakistani","32.0","2,139"
"Girls: free school meals","Asian other","42.8","477"
"Girls: free school meals","Black","31.7","3,032"
"Girls: free school meals","Black African","38.1","1,865"
"Girls: free school meals","Black Caribbean","19.9","797"
"Girls: free school meals","Black other","24.6","370"
"Girls: free school meals","Chinese","73.0","63"
"Girls: free school meals","Mixed","27.3","2,183"
"Girls: free school meals","Mixed White/Asian","30.7","352"
"Girls: free school meals","Mixed White/Black African","32.0","272"
"Girls: free school meals","Mixed White/Black Caribbean","22.2","803"
"Girls: free school meals","Mixed other","29.6","756"
"Girls: free school meals","White","19.6","21,607"
"Girls: free school meals","White British","19.1","20,172"
"Girls: free school meals","White Irish","29.5","95"
"Girls: free school meals","Gypsy/Roma","2.9","174"
"Girls: free school meals","Irish Traveller","8.6","35"
"Girls: free school meals","White other","31.1","1,131"
"Girls: free school meals","Other","37.3","980"
"Girls: free school meals","Unknown","18.9","524"
"Girls: no free school meals","All","50.0","224,052"
"Girls: no free school meals","Asian","55.5","22,926"
"Girls: no free school meals","Bangladeshi","54.2","3,601"
"Girls: no free school meals","Indian","66.1","6,623"
"Girls: no free school meals","Pakistani","44.4","9,065"
"Girls: no free school meals","Asian other","65.1","3,637"
"Girls: no free school meals","Black","45.9","11,583"
"Girls: no free school meals","Black African","51.2","7,350"
"Girls: no free school meals","Black Caribbean","34.8","2,781"
"Girls: no free school meals","Black other","39.7","1,452"
"Girls: no free school meals","Chinese","78.9","909"
"Girls: no free school meals","Mixed","51.0","10,016"
"Girls: no free school meals","Mixed White/Asian","60.6","2,392"
"Girls: no free school meals","Mixed White/Black African","47.6","1,190"
"Girls: no free school meals","Mixed White/Black Caribbean","38.8","2,740"
"Girls: no free school meals","Mixed other","54.8","3,694"
"Girls: no free school meals","White","49.5","172,590"
"Girls: no free school meals","White British","49.8","159,702"
"Girls: no free school meals","White Irish","60.9","719"
"Girls: no free school meals","Gypsy/Roma","9.1","416"
"Girls: no free school meals","Irish Traveller","14.3","21"
"Girls: no free school meals","White other","46.8","11,732"
"Girls: no free school meals","Other","51.0","3,131"
"Girls: no free school meals","Unknown","40.5","2,897"
