"FSM","Ethnicity","%","Pupils"
"Free school meals","All","21.6","66,365"
"Free school meals","Asian","35.2","8,610"
"Free school meals","Bangladeshi","38.9","2,256"
"Free school meals","Indian","43.1","957"
"Free school meals","Pakistani","30.6","4,364"
"Free school meals","Asian other","38.9","1,033"
"Free school meals","Black","27.7","5,912"
"Free school meals","Black African","33.7","3,639"
"Free school meals","Black Caribbean","15.7","1,531"
"Free school meals","Black other","22.4","742"
"Free school meals","Chinese","67.3","107"
"Free school meals","Mixed","24.4","4,396"
"Free school meals","Mixed White/Asian","27.8","709"
"Free school meals","Mixed White/Black African","28.1","558"
"Free school meals","Mixed White/Black Caribbean","18.8","1,614"
"Free school meals","Mixed other","27.5","1,515"
"Free school meals","White","17.2","44,327"
"Free school meals","White British","16.7","41,457"
"Free school meals","White Irish","24.5","188"
"Free school meals","Gypsy/Roma","2.9","344"
"Free school meals","Irish Traveller","6.0","67"
"Free school meals","White other","29.2","2,271"
"Free school meals","Other","35.9","1,980"
"Free school meals","Unknown","18.3","1,033"
"No free school meals","All","46.4","457,261"
"No free school meals","Asian","53.0","47,127"
"No free school meals","Bangladeshi","52.4","7,128"
"No free school meals","Indian","63.4","13,618"
"No free school meals","Pakistani","42.3","18,476"
"No free school meals","Asian other","60.8","7,905"
"No free school meals","Black","41.6","23,037"
"No free school meals","Black African","46.9","14,719"
"No free school meals","Black Caribbean","30.1","5,402"
"No free school meals","Black other","35.9","2,916"
"No free school meals","Chinese","75.7","1,768"
"No free school meals","Mixed","47.9","20,250"
"No free school meals","Mixed White/Asian","58.7","4,828"
"No free school meals","Mixed White/Black African","44.2","2,378"
"No free school meals","Mixed White/Black Caribbean","35.1","5,479"
"No free school meals","Mixed other","51.4","7,565"
"No free school meals","White","45.8","352,353"
"No free school meals","White British","46.0","326,223"
"No free school meals","White Irish","59.9","1,458"
"No free school meals","Gypsy/Roma","6.4","763"
"No free school meals","Irish Traveller","15.9","44"
"No free school meals","White other","43.2","23,865"
"No free school meals","Other","46.2","6,593"
"No free school meals","Unknown","36.7","6,133"
