"Ethnicity","Geography","All","Boys","Girls"
"Asian","Somerset","38.1","52.4","23.8"
"Asian","South Gloucestershire","50.7","36.7","60.0"
"Asian","South Tyneside","51.7","51.9","51.6"
"Asian","Southampton","43.8","44.4","43.3"
"Asian","Southend-on-Sea","82.5","81.4","83.9"
"Asian","Southwark","61.6","59.1","63.9"
"Asian","St. Helens","50.0","42.9","57.1"
"Asian","Staffordshire","36.9","35.7","38.3"
"Asian","Stockport","55.6","50.0","61.6"
"Asian","Stockton-on-Tees","56.4","54.5","58.8"
"Asian","Stoke-on-Trent","36.6","32.6","40.7"
"Asian","Suffolk","59.5","50.9","67.8"
"Asian","Sunderland","53.1","47.6","57.4"
"Asian","Surrey","56.3","52.6","60.4"
"Asian","Sutton","85.4","85.1","85.7"
"Asian","Swindon","37.8","33.9","41.7"
"Asian","Tameside","44.0","46.1","42.0"
"Asian","Telford and Wrekin","47.2","47.3","47.2"
"Asian","Thurrock","60.6","52.8","68.6"
"Asian","Torbay","66.7","80.0","61.5"
"Asian","Tower Hamlets","49.9","46.2","53.3"
"Asian","Trafford","71.6","73.1","70.0"
"Asian","Wakefield","39.2","32.2","45.5"
"Asian","Walsall","47.1","47.1","47.0"
"Asian","Waltham Forest","50.3","47.6","53.1"
"Asian","Wandsworth","59.0","60.1","57.5"
"Asian","Warrington","58.8","65.6","47.4"
"Asian","Warwickshire","68.3","69.0","67.5"
"Asian","West Berkshire","52.1","42.3","63.6"
"Asian","West Sussex","57.3","55.2","59.6"
"Asian","Westminster","55.1","54.5","55.9"
"Asian","Wigan","48.3","40.0","57.1"
"Asian","Wiltshire","57.1","50.0","66.7"
"Asian","Windsor and Maidenhead","45.3","42.9","47.5"
"Asian","Wirral","74.6","78.6","71.0"
"Asian","Wokingham","56.2","56.0","56.5"
"Asian","Wolverhampton","50.7","46.8","54.4"
"Asian","Worcestershire","43.4","42.5","44.0"
"Asian","York","46.4","50.0","43.8"
"Black","Barking and Dagenham","42.2","36.7","48.0"
"Black","Barnet","46.1","39.8","53.0"
"Black","Barnsley","21.4","12.5","33.3"
"Black","Bath and North East Somerset","29.2","25.0","33.3"
"Black","Bedford","47.3","46.9","47.6"
"Black","Bexley","61.9","53.7","69.1"
"Black","Birmingham","34.5","30.4","38.8"
"Black","Blackburn with Darwen","23.1","25.0","20.0"
"Black","Blackpool","20.0","33.3","0.0"
"Black","Bolton","37.7","37.0","38.4"
"Black","Bournemouth","42.9","66.7","25.0"
"Black","Bracknell Forest","33.3","22.2","41.7"
"Black","Bradford","30.8","31.4","30.2"
"Black","Brent","40.4","36.1","44.4"
"Black","Brighton and Hove","25.9","26.9","25.0"
"Black","Bristol, City of","29.6","29.4","29.7"
"Black","Bromley","48.0","36.8","56.6"
"Black","Buckinghamshire","58.3","57.1","59.4"
"Black","Bury","17.4","20.7","11.8"
"Black","Calderdale","30.8","36.4","26.7"
"Black","Cambridgeshire","32.8","32.3","33.3"
"Black","Camden","38.5","31.0","43.7"
"Black","Central Bedfordshire","42.9","47.8","39.4"
"Black","Cheshire East","41.7","16.7","66.7"
"Black","Cheshire West and Chester","25.0","0.0","50.0"
"Black","City of London","N/A","N/A","N/A"
