"Gender","Ethnicity","%","Pupils"
"Boys","All","40.0","266,906"
"Boys","Asian","48.1","28,532"
"Boys","Bangladeshi","47.6","4,620"
"Boys","Indian","59.6","7,452"
"Boys","Pakistani","38.1","11,636"
"Boys","Asian other","54.7","4,824"
"Boys","Black","34.5","14,334"
"Boys","Black African","40.0","9,143"
"Boys","Black Caribbean","22.1","3,355"
"Boys","Black other","29.8","1,836"
"Boys","Chinese","71.8","903"
"Boys","Mixed","40.7","12,447"
"Boys","Mixed White/Asian","52.8","2,793"
"Boys","Mixed White/Black African","37.6","1,474"
"Boys","Mixed White/Black Caribbean","27.8","3,550"
"Boys","Mixed other","44.4","4,630"
"Boys","White","39.2","202,483"
"Boys","White British","39.3","187,806"
"Boys","White Irish","54.4","832"
"Boys","Gypsy/Roma","3.1","517"
"Boys","Irish Traveller","9.1","55"
"Boys","White other","38.7","13,273"
"Boys","Other","40.3","4,462"
"Boys","Unknown","31.1","3,745"
"Girls","All","46.7","256,720"
"Girls","Asian","52.5","27,205"
"Girls","Bangladeshi","50.6","4,764"
"Girls","Indian","64.6","7,123"
"Girls","Pakistani","42.0","11,204"
"Girls","Asian other","62.5","4,114"
"Girls","Black","42.9","14,615"
"Girls","Black African","48.6","9,215"
"Girls","Black Caribbean","31.5","3,578"
"Girls","Black other","36.6","1,822"
"Girls","Chinese","78.5","972"
"Girls","Mixed","46.7","12,199"
"Girls","Mixed White/Asian","56.7","2,744"
"Girls","Mixed White/Black African","44.7","1,462"
"Girls","Mixed White/Black Caribbean","35.1","3,543"
"Girls","Mixed other","50.6","4,450"
"Girls","White","46.2","194,197"
"Girls","White British","46.3","179,874"
"Girls","White Irish","57.2","814"
"Girls","Gypsy/Roma","7.3","590"
"Girls","Irish Traveller","10.7","56"
"Girls","White other","45.4","12,863"
"Girls","Other","47.7","4,111"
"Girls","Unknown","37.2","3,421"
