"Ethnicity","Geography","%","Pupils"
"All","Wolverhampton","36.4","2,612"
"All","Worcestershire","42.5","5,273"
"All","York","47.3","1,620"
"Asian","All - England","50.7","55,183"
"Asian","Barking and Dagenham","55.7","449"
"Asian","Barnet","81.2","532"
"Asian","Barnsley","50.0","8"
"Asian","Bath and North East Somerset","52.2","23"
"Asian","Bedford","39.0","269"
"Asian","Bexley","70.7","232"
"Asian","Birmingham","40.5","5,017"
"Asian","Blackburn with Darwen","51.1","838"
"Asian","Blackpool","31.8","22"
"Asian","Bolton","49.7","698"
"Asian","Bournemouth","63.4","41"
"Asian","Bracknell Forest","54.2","59"
"Asian","Bradford","37.8","2,727"
"Asian","Brent","55.4","897"
"Asian","Brighton and Hove","47.4","57"
"Asian","Bristol, City of","44.4","261"
"Asian","Bromley","83.1","166"
"Asian","Buckinghamshire","64.2","1,021"
"Asian","Bury","38.1","307"
"Asian","Calderdale","45.6","384"
"Asian","Cambridgeshire","56.7","157"
"Asian","Camden","46.4","274"
"Asian","Central Bedfordshire","60.0","50"
"Asian","Cheshire East","55.7","61"
"Asian","Cheshire West and Chester","46.7","30"
"Asian","City of London","N/A","0"
"Asian","Cornwall","50.0","16"
"Asian","County Durham","53.1","32"
"Asian","Coventry","47.2","687"
"Asian","Croydon","53.2","472"
"Asian","Cumbria","66.7","30"
"Asian","Darlington","43.8","32"
"Asian","Derby","45.6","487"
"Asian","Derbyshire","57.1","70"
"Asian","Devon","47.8","23"
"Asian","Doncaster","40.0","95"
"Asian","Dorset","64.3","28"
"Asian","Dudley","43.4","302"
"Asian","Ealing","56.4","824"
"Asian","East Riding of Yorkshire","85.7","7"
"Asian","East Sussex","58.8","80"
"Asian","Enfield","64.9","299"
"Asian","Essex","68.4","380"
"Asian","Gateshead","50.0","44"
"Asian","Gloucestershire","58.0","176"
"Asian","Greenwich","46.2","197"
"Asian","Hackney","52.7","258"
"Asian","Halton","50.0","4"
"Asian","Hammersmith and Fulham","51.8","114"
"Asian","Hampshire","53.6","319"
"Asian","Haringey","52.5","158"
"Asian","Harrow","62.5","912"
"Asian","Hartlepool","64.0","25"
"Asian","Havering","56.8","146"
"Asian","Herefordshire, County of","57.1","7"
"Asian","Hertfordshire","67.9","947"
"Asian","Hillingdon","61.4","715"
"Asian","Hounslow","59.6","805"
"Asian","Isle of Wight","60.0","5"
"Asian","Isles of Scilly","N/A","0"
"Asian","Islington","56.4","179"
"Asian","Kensington and Chelsea","61.0","41"
"Asian","Kent","70.1","581"
"Asian","Kingston upon Hull, City of","52.9","34"
"Asian","Kingston upon Thames","77.9","384"
"Asian","Kirklees","41.3","1,235"
"Asian","Knowsley","25.0","4"
"Asian","Lambeth","61.5","96"
"Asian","Lancashire","43.8","1,347"
"Asian","Leeds","39.7","956"
"Asian","Leicester","43.6","1,719"
"Asian","Leicestershire","61.2","547"
"Asian","Lewisham","46.4","125"
"Asian","Lincolnshire","81.3","80"
"Asian","Liverpool","61.7","128"
"Asian","Luton","40.9","1,177"
"Asian","Manchester","42.6","1,068"
"Asian","Medway","62.2","156"
"Asian","Merton","53.4","232"
"Asian","Middlesbrough","44.6","177"
"Asian","Milton Keynes","46.3","240"
"Asian","Newcastle upon Tyne","46.3","268"
"Asian","Newham","54.8","1,710"
"Asian","Norfolk","55.3","94"
"Asian","North East Lincolnshire","40.0","15"
"Asian","North Lincolnshire","35.7","70"
"Asian","North Somerset","53.1","32"
"Asian","North Tyneside","50.0","34"
"Asian","North Yorkshire","57.7","111"
"Asian","Northamptonshire","48.1","343"
"Asian","Northumberland","61.0","41"
"Asian","Nottingham","38.5","467"
"Asian","Nottinghamshire","64.8","213"
"Asian","Oldham","33.6","894"
"Asian","Oxfordshire","38.6","293"
"Asian","Peterborough","37.0","365"
"Asian","Plymouth","80.0","20"
"Asian","Poole","65.8","38"
"Asian","Portsmouth","51.0","96"
"Asian","Reading","62.6","211"
"Asian","Redbridge","65.4","1,858"
"Asian","Redcar and Cleveland","57.7","26"
"Asian","Richmond upon Thames","65.8","111"
"Asian","Rochdale","38.9","617"
"Asian","Rotherham","39.3","272"
"Asian","Rutland","50.0","4"
"Asian","Salford","57.1","42"
"Asian","Sandwell","35.7","1,066"
"Asian","Sefton","45.5","33"
"Asian","Sheffield","37.1","550"
"Asian","Shropshire","42.9","28"
"Asian","Slough","63.5","891"
"Asian","Solihull","49.8","319"
"Asian","Somerset","38.1","42"
"Asian","South Gloucestershire","50.7","75"
"Asian","South Tyneside","51.7","58"
"Asian","Southampton","43.8","203"
"Asian","Southend-on-Sea","82.5","200"
"Asian","Southwark","61.6","138"
"Asian","St. Helens","50.0","14"
"Asian","Staffordshire","36.9","287"
"Asian","Stockport","55.6","151"
"Asian","Stockton-on-Tees","56.4","117"
"Asian","Stoke-on-Trent","36.6","355"
"Asian","Suffolk","59.5","116"
"Asian","Sunderland","53.1","96"
"Asian","Surrey","56.3","604"
"Asian","Sutton","85.4","636"
"Asian","Swindon","37.8","238"
"Asian","Tameside","44.0","302"
"Asian","Telford and Wrekin","47.2","127"
"Asian","Thurrock","60.6","71"
"Asian","Torbay","66.7","18"
"Asian","Tower Hamlets","49.9","1,865"
"Asian","Trafford","71.6","377"
"Asian","Wakefield","39.2","125"
"Asian","Walsall","47.1","716"
"Asian","Waltham Forest","50.3","743"
"Asian","Wandsworth","59.0","334"
"Asian","Warrington","58.8","51"
"Asian","Warwickshire","68.3","293"
"Asian","West Berkshire","52.1","48"
"Asian","West Sussex","57.3","330"
"Asian","Westminster","55.1","216"
"Asian","Wigan","48.3","29"
"Asian","Wiltshire","57.1","56"
"Asian","Windsor and Maidenhead","45.3","192"
"Asian","Wirral","74.6","59"
