"","Unemployed","Inactive"
"Ethnicity","%","%"
"All","4.6","6.9"
"Bangladeshi","6.2","5.8"
"Chinese","2.0","2.5"
"Indian","3.7","3.5"
"Pakistani","5.5","8.8"
"Asian other","4.7","6.6"
"Black","5.5","6.0"
"Mixed","4.3","6.7"
"White","4.6","7.0"
"Other","2.3","7.4"
