"Ethnicity","%"
"All","11.5"
"Bangladeshi","12.0"
"Chinese","4.5"
"Indian","7.3"
"Pakistani","14.3"
"Asian other","11.3"
"Black","11.5"
"Mixed","11.0"
"White","11.7"
"Other","9.6"
