"","Male","Female"
"Ethnicity","%","%"
"All","11.0","12.1"
"Bangladeshi","11.3","12.7"
"Chinese","3.6","5.2"
"Indian","6.7","7.9"
"Pakistani","13.4","15.3"
"Asian other","8.0","15.0"
"Black","12.5","10.5"
"Mixed","12.1","9.9"
"White","11.0","12.3"
"Other","8.9","10.4"
