"Ethnicity","% of special constables","% of population","Number of special constables (Headcount)"
"Asian","6.1","6.8","535"
"Black","1.8","3.3","161"
"Mixed","2.3","2.2","203"
"White","88.2","86.0","7,748"
"Other inc Chinese","1.5","1.7","135"
"Unknown","N/A","N/A","789"
