"","2012 - 14","2013 - 15"
"Ethnicity","%","%"
"All","64.6","64.8"
"Asian","53.6","55.1"
"Chinese","39.5","40.9"
"Black","66.5","67.2"
"Mixed","54.3","53.9"
"White","65.7","65.8"
"Other","58.0","58.4"
