"","2016-17","","2017-18","","2018-19",""
"Ethnicity","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"All","8","10,256","8","10,217","8","10,627"
"Asian","8","1,111","8","926","8","909"
"Black","12","360","12","353","8","348"
"Mixed","6","467","8","510","8","499"
"White","8","8,022","7","8,108","8","8,560"
"Other","5","163","13","124","13","125"
