"","All","Asian","Black","Mixed","White","Other"
"Highest qualification held","","","","","",""
"All","3%","5%","6%","4%","3%","4%"
"Level 4 and above","2%","4%","6%","3%","2%","5%"
"Level 3","3%","5%","7%","6%","3%","8%"
"Level 2","4%","6%","6%","5%","3%","2%"
"Below Level 2","4%","7%","7%","?","4%","?"
"Other qualifications","3%","6%","7%","?","3%","4%"
"No qualifications","3%","2%","3%","?","4%","2%"
