"","2018","","","","2019","","","","2020","","",""
"Ethnicity","Boys looked after","Boys adopted","Girls looked after","Girls adopted","Boys looked after","Boys adopted","Girls looked after","Girls adopted","Boys looked after","Boys adopted","Girls looked after","Girls adopted"
"All","56","53","44","47","56","52","44","48","57","52","43","48"
"Asian","3","1","2","1","3","1","2","1","3","1","2","1"
"Black","5","1","3","1","6","1","3","1","5","1","3","1"
"Mixed","5","5","4","5","5","5","4","6","5","5","4","6"
"Other (inc. Chinese)","3","1","1","1","3","1","1","1","4","1","1","1"
"White","39","44","33","40","39","44","33","39","39","43","33","39"
"Unknown","~0","1","~0","1","~0","1","~0","1","1","1","~0","1"
