"Ethnicity","%","Number of people unemployed"
"All","4","1,287,300"
"Asian","6","135,700"
"Indian","4","37,000"
"Pakistani/Bangladeshi","8","64,000"
"Asian Other","6","34,700"
"Black","8","87,400"
"Mixed","6","25,000"
"White","4","996,900"
"White British","4","911,800"
"White Other","3","85,200"
"Other","7","41,800"
