"Measure","Measure_Type","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Sex","Value","confidence_interval","Numerator","Denominator","Samp_size"
"Temporary","Employment Type","All","All","2004","Year","All","All","5.8","0.1","1368900","23595700","143630"
"Permanent","Employment Type","All","All","2004","Year","All","All","94.2","0.1","22217100","23595700","143630"
"Unknown","Employment Type","All","All","2004","Year","All","All","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","All","Men","5.2","0.2","626900","12119400","70528"
"Permanent","Employment Type","All","All","2004","Year","All","Men","94.8","0.2","11487800","12119400","70528"
"Unknown","Employment Type","All","All","2004","Year","All","Men","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","All","Women","6.5","0.2","742000","11476300","73102"
"Permanent","Employment Type","All","All","2004","Year","All","Women","93.5","0.2","10729200","11476300","73102"
"Unknown","Employment Type","All","All","2004","Year","All","Women","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","East Midlands","All","5.3","0.5","92900","1763800","7082"
"Permanent","Employment Type","All","All","2004","Year","East Midlands","All","94.7","0.5","1670100","1763800","7082"
"Unknown","Employment Type","All","All","2004","Year","East Midlands","All","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","East Midlands","Men","4.7","0.7","42400","911700","3558"
"Permanent","Employment Type","All","All","2004","Year","East Midlands","Men","95.3","0.7","869200","911700","3558"
"Unknown","Employment Type","All","All","2004","Year","East Midlands","Men","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","East Midlands","Women","5.9","0.8","50500","852200","3524"
"Permanent","Employment Type","All","All","2004","Year","East Midlands","Women","94","0.8","800900","852200","3524"
"Unknown","Employment Type","All","All","2004","Year","East Midlands","Women","0.1","0.1","800","852200","3524"
"Temporary","Employment Type","All","All","2004","Year","East of England","All","4.8","0.4","110600","2303200","9785"
"Permanent","Employment Type","All","All","2004","Year","East of England","All","95.2","0.4","2192500","2303200","9785"
"Unknown","Employment Type","All","All","2004","Year","East of England","All","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","East of England","Men","4.3","0.6","50600","1184200","4914"
"Permanent","Employment Type","All","All","2004","Year","East of England","Men","95.7","0.6","1133700","1184200","4914"
"Unknown","Employment Type","All","All","2004","Year","East of England","Men","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","East of England","Women","5.4","0.6","60000","1119000","4871"
"Permanent","Employment Type","All","All","2004","Year","East of England","Women","94.6","0.6","1058900","1119000","4871"
"Unknown","Employment Type","All","All","2004","Year","East of England","Women","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","London","All","6.7","0.5","194500","2886700","10597"
"Permanent","Employment Type","All","All","2004","Year","London","All","93.2","0.5","2690300","2886700","10597"
"Unknown","Employment Type","All","All","2004","Year","London","All","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","London","Men","5.7","0.6","87400","1523200","5253"
"Permanent","Employment Type","All","All","2004","Year","London","Men","94.2","0.6","1434400","1523200","5253"
"Unknown","Employment Type","All","All","2004","Year","London","Men","0.1","0.1","1400","1523200","5253"
"Temporary","Employment Type","All","All","2004","Year","London","Women","7.9","0.7","107100","1363500","5344"
"Permanent","Employment Type","All","All","2004","Year","London","Women","92.1","0.7","1255900","1363500","5344"
"Unknown","Employment Type","All","All","2004","Year","London","Women","0","0.1","600","1363500","5344"
"Temporary","Employment Type","All","All","2004","Year","North East","All","6.9","0.5","68900","1003100","9586"
"Permanent","Employment Type","All","All","2004","Year","North East","All","93.1","0.5","933800","1003100","9586"
"Unknown","Employment Type","All","All","2004","Year","North East","All","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","North East","Men","6.9","0.7","35200","513700","4692"
"Permanent","Employment Type","All","All","2004","Year","North East","Men","93.1","0.7","478100","513700","4692"
"Unknown","Employment Type","All","All","2004","Year","North East","Men","0.1","0.1","400","513700","4692"
"Temporary","Employment Type","All","All","2004","Year","North East","Women","6.9","0.7","33700","489400","4894"
"Permanent","Employment Type","All","All","2004","Year","North East","Women","93.1","0.7","455700","489400","4894"
"Unknown","Employment Type","All","All","2004","Year","North East","Women","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","North West","All","5.2","0.3","140300","2724300","16714"
"Permanent","Employment Type","All","All","2004","Year","North West","All","94.8","0.3","2582600","2724300","16714"
"Unknown","Employment Type","All","All","2004","Year","North West","All","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","North West","Men","4.6","0.5","63500","1390800","8116"
"Permanent","Employment Type","All","All","2004","Year","North West","Men","95.4","0.5","1326400","1390800","8116"
"Unknown","Employment Type","All","All","2004","Year","North West","Men","0.1","0.1","800","1390800","8116"
"Temporary","Employment Type","All","All","2004","Year","North West","Women","5.8","0.5","76800","1333500","8598"
"Permanent","Employment Type","All","All","2004","Year","North West","Women","94.2","0.5","1256200","1333500","8598"
"Unknown","Employment Type","All","All","2004","Year","North West","Women","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","Scotland","All","6.7","0.3","144300","2144000","21640"
"Permanent","Employment Type","All","All","2004","Year","Scotland","All","93.2","0.3","1998500","2144000","21640"
"Unknown","Employment Type","All","All","2004","Year","Scotland","All","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","Scotland","Men","6.3","0.5","67200","1074200","10386"
"Permanent","Employment Type","All","All","2004","Year","Scotland","Men","93.7","0.5","1006300","1074200","10386"
"Unknown","Employment Type","All","All","2004","Year","Scotland","Men","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","Scotland","Women","7.2","0.5","77100","1069800","11254"
"Permanent","Employment Type","All","All","2004","Year","Scotland","Women","92.7","0.5","992200","1069800","11254"
"Unknown","Employment Type","All","All","2004","Year","Scotland","Women","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","South East","All","5.5","0.3","188900","3409500","17577"
"Permanent","Employment Type","All","All","2004","Year","South East","All","94.4","0.3","3219900","3409500","17577"
"Unknown","Employment Type","All","All","2004","Year","South East","All","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","South East","Men","4.9","0.5","85100","1747600","8761"
"Permanent","Employment Type","All","All","2004","Year","South East","Men","95.1","0.5","1662100","1747600","8761"
"Unknown","Employment Type","All","All","2004","Year","South East","Men","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","South East","Women","6.2","0.5","103800","1661800","8816"
"Permanent","Employment Type","All","All","2004","Year","South East","Women","93.7","0.5","1557800","1661800","8816"
"Unknown","Employment Type","All","All","2004","Year","South East","Women","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","South West","All","5.6","0.4","113700","2025200","11218"
"Permanent","Employment Type","All","All","2004","Year","South West","All","94.3","0.4","1910100","2025200","11218"
"Unknown","Employment Type","All","All","2004","Year","South West","All","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","South West","Men","5.2","0.6","53600","1028600","5510"
"Permanent","Employment Type","All","All","2004","Year","South West","Men","94.7","0.6","974600","1028600","5510"
"Unknown","Employment Type","All","All","2004","Year","South West","Men","0","0.1","400","1028600","5510"
"Temporary","Employment Type","All","All","2004","Year","South West","Women","6","0.6","60100","996600","5708"
"Permanent","Employment Type","All","All","2004","Year","South West","Women","93.9","0.6","935500","996600","5708"
"Unknown","Employment Type","All","All","2004","Year","South West","Women","0.1","0.1","900","996600","5708"
"Temporary","Employment Type","All","All","2004","Year","Wales","All","6.7","0.4","75300","1121700","16580"
"Permanent","Employment Type","All","All","2004","Year","Wales","All","93.3","0.4","1046000","1121700","16580"
"Unknown","Employment Type","All","All","2004","Year","Wales","All","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","Wales","Men","5.6","0.5","31600","568900","7951"
"Permanent","Employment Type","All","All","2004","Year","Wales","Men","94.4","0.5","537200","568900","7951"
"Unknown","Employment Type","All","All","2004","Year","Wales","Men","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","Wales","Women","7.9","0.6","43700","552800","8629"
"Permanent","Employment Type","All","All","2004","Year","Wales","Women","92.1","0.6","508800","552800","8629"
"Unknown","Employment Type","All","All","2004","Year","Wales","Women","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","West Midlands","All","5.2","0.4","112500","2149500","10993"
"Permanent","Employment Type","All","All","2004","Year","West Midlands","All","94.7","0.4","2036300","2149500","10993"
"Unknown","Employment Type","All","All","2004","Year","West Midlands","All","?","?","?","?","?"
