"Year","Ethnicity","%"
"2012","All","31.49"
"2012","Bangladeshi","33.43"
"2012","Chinese","27.25"
"2012","Indian","35.74"
"2012","Pakistani","30.68"
"2012","Asian other","31.49"
"2012","Black","29.36"
"2012","Mixed","24.73"
"2012","White","31.59"
"2012","White Gypsy / Traveller","?"
"2012","Arab","23.73"
"2012","Other","28.56"
"2013","All","32.29"
"2013","Bangladeshi","35.06"
"2013","Chinese","29.43"
"2013","Indian","32.68"
"2013","Pakistani","32.08"
"2013","Asian other","34.64"
"2013","Black","32.36"
"2013","Mixed","31.93"
"2013","White","32.32"
"2013","White Gypsy / Traveller","?"
"2013","Arab","23.28"
"2013","Other","30.41"
"2014","All","33.72"
"2014","Bangladeshi","37.86"
"2014","Chinese","34.10"
"2014","Indian","34.90"
"2014","Pakistani","34.38"
"2014","Asian other","31.44"
"2014","Black","33.02"
"2014","Mixed","28.66"
"2014","White","33.80"
"2014","White Gypsy / Traveller","?"
"2014","Arab","26.29"
"2014","Other","32.39"
"2015","All","34.24"
"2015","Bangladeshi","34.25"
"2015","Chinese","33.51"
"2015","Indian","35.80"
"2015","Pakistani","36.04"
"2015","Asian other","34.03"
"2015","Black","32.53"
"2015","Mixed","28.80"
"2015","White","34.32"
"2015","White Gypsy / Traveller","?"
"2015","Arab","31.87"
"2015","Other","32.80"
"2016","All","34.58"
"2016","Bangladeshi","37.26"
"2016","Chinese","30.68"
"2016","Indian","38.58"
"2016","Pakistani","35.67"
"2016","Asian other","34.29"
"2016","Black","34.43"
"2016","Mixed","30.77"
"2016","White","34.53"
"2016","White Gypsy / Traveller","?"
"2016","Arab","33.47"
"2016","Other","34.02"
"2017","All","35.11"
"2017","Bangladeshi","37.52"
"2017","Chinese","27.89"
"2017","Indian","38.52"
"2017","Pakistani","36.92"
"2017","Asian other","37.35"
"2017","Black","33.73"
"2017","Mixed","26.87"
"2017","White","35.16"
"2017","White Gypsy / Traveller","?"
"2017","Arab","27.11"
"2017","Other","36.92"
"2018","All","35.06"
"2018","Bangladeshi","37.37"
"2018","Chinese","28.93"
"2018","Indian","38.69"
"2018","Pakistani","37.94"
"2018","Asian other","38.81"
"2018","Black","37.47"
"2018","Mixed","31.49"
"2018","White","34.90"
"2018","White Gypsy / Traveller","?"
"2018","Arab","31.56"
"2018","Other","33.90"
