"","All","Asian","Black","Mixed","White","Other"
"Highest qualification held","","","","","",""
"All","24%","38%","26%","28%","22%","36%"
"Level 4 and above","14%","21%","14%","14%","14%","24%"
"Level 3","19%","35%","22%","29%","18%","42%"
"Level 2","27%","45%","37%","43%","26%","39%"
"Below Level 2","33%","52%","39%","?","32%","?"
"Other qualifications","32%","50%","35%","?","27%","47%"
"No qualifications","59%","79%","56%","?","56%","65%"
