"Free school meals","Ethnicity","%","Pupils"
"Free school meals","All","22.5","76,237"
"Free school meals","Asian","37.2","9,394"
"Free school meals","Bangladeshi","42.3","2,504"
"Free school meals","Indian","46.5","1,070"
"Free school meals","Pakistani","31.5","4,650"
"Free school meals","Asian other","40.5","1,170"
"Free school meals","Black","28.0","7,131"
"Free school meals","Black African","33.5","4,326"
"Free school meals","Black Caribbean","17.6","1,896"
"Free school meals","Black other","23.5","909"
"Free school meals","Chinese","69.2","130"
"Free school meals","Mixed","24.0","5,406"
"Free school meals","Mixed White/Asian","26.8","847"
"Free school meals","Mixed White/Black African","28.8","699"
"Free school meals","Mixed White/Black Caribbean","16.8","1,974"
"Free school meals","Mixed other","28.4","1,886"
"Free school meals","White","18.1","50,614"
"Free school meals","White British","17.7","47,358"
"Free school meals","White Irish","26.2","214"
"Free school meals","Gypsy/Roma","4.5","418"
"Free school meals","Irish Traveller","11.8","85"
"Free school meals","White other","28.6","2,539"
"Free school meals","Other","34.0","2,388"
"Free school meals","Unknown","22.0","1,174"
"No free school meals","All","46.6","466,331"
"No free school meals","Asian","54.7","48,717"
"No free school meals","Bangladeshi","53.0","7,373"
"No free school meals","Indian","65.4","14,359"
"No free school meals","Pakistani","43.7","18,852"
"No free school meals","Asian other","62.9","8,133"
"No free school meals","Black","40.7","24,044"
"No free school meals","Black African","45.5","15,481"
"No free school meals","Black Caribbean","29.5","5,597"
"No free school meals","Black other","36.7","2,966"
"No free school meals","Chinese","76.8","1,876"
"No free school meals","Mixed","48.8","21,612"
"No free school meals","Mixed White/Asian","60.1","5,297"
"No free school meals","Mixed White/Black African","44.9","2,563"
"No free school meals","Mixed White/Black Caribbean","36.1","5,530"
"No free school meals","Mixed other","51.3","8,222"
"No free school meals","White","45.8","356,094"
"No free school meals","White British","46.1","328,054"
"No free school meals","White Irish","59.1","1,474"
"No free school meals","Gypsy/Roma","6.8","825"
"No free school meals","Irish Traveller","16.7","66"
"No free school meals","White other","42.7","25,675"
"No free school meals","Other","46.5","7,219"
"No free school meals","Unknown","37.5","6,769"
