"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_Type","Geography_code","Age","Value","Value_type","APS per entry as a grade","Number of students","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"16-18 APS per entry - A level","All","All","202021","Academic year","England","National","E92000001","16-18","41.6011","Average point score","B","271072","","","","","","","","","","","",""
"16-18 APS per entry - A level","Other","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","39.7637","Average point score","B","4697","","","","","","","","","","","",""
"16-18 APS per entry - A level","Asian","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","39.9514","Average point score","B","32534","","","","","","","","","","","",""
"16-18 APS per entry - A level","Asian Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","40.4576","Average point score","B","6060","","","","","","","","","","","",""
"16-18 APS per entry - A level","Bangladeshi","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","38.6399","Average point score","B","5453","","","","","","","","","","","",""
"16-18 APS per entry - A level","Indian","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","42.7896","Average point score","B+","10412","","","","","","","","","","","",""
"16-18 APS per entry - A level","Pakistani","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","37.3256","Average point score","B-","10609","","","","","","","","","","","",""
"16-18 APS per entry - A level","Black","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","37.0602","Average point score","B-","13747","","","","","","","","","","","",""
"16-18 APS per entry - A level","Black Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","36.7858","Average point score","B-","1572","","","","","","","","","","","",""
"16-18 APS per entry - A level","Black African","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","37.3244","Average point score","B-","10022","","","","","","","","","",""," ",""
"16-18 APS per entry - A level","Black Caribbean","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","35.9736","Average point score","B-","2153","","","","","","","","","","","",""
