"","White","","Other than White","","Unknown",""
"UK Nation","%","Number","%","Number","%","Number"
"UK","87.8","3,913,298","3.8","167,265","8.5","378,942"
"England","87.8","3,483,083","4.0","160,697","8.2","324,673"
"Scotland","85.6","202,822","2.7","6,366","11.8","27,892"
"Wales","91.2","150,925","0.0","0","8.8","14,584"
"Northern Ireland","86.8","77,146","0.4","379","12.8","11,381"
