"Ethnicity","Geography","boys","girls"
"All","Barking and Dagenham","70","80"
"All","Barnet","76","82"
"All","Barnsley","66","78"
"All","Bath and North East Somerset","75","81"
"All","Bedford","68","77"
"All","Bexley","78","83"
"All","Birmingham","68","77"
"All","Blackburn with Darwen","70","80"
"All","Blackpool","70","76"
"All","Bolton","68","77"
"All","Bournemouth","73","82"
"All","Bracknell Forest","72","83"
"All","Bradford","67","77"
"All","Brent","70","80"
"All","Brighton and Hove","70","79"
"All","Bristol, City of","70","77"
"All","Bromley","79","83"
"All","Buckinghamshire","76","83"
"All","Bury","70","76"
"All","Calderdale","66","77"
"All","Cambridgeshire","70","78"
"All","Camden","73","81"
"All","Central Bedfordshire","76","83"
"All","Cheshire East","73","80"
"All","Cheshire West and Chester","70","79"
"All","City of London","!","!"
"All","Cornwall","67","77"
"All","County Durham","73","81"
"All","Coventry","67","77"
"All","Croydon","74","81"
"All","Cumbria","70","80"
"All","Darlington","72","80"
"All","Derby","67","76"
"All","Derbyshire","71","80"
"All","Devon","71","79"
"All","Doncaster","67","77"
"All","Dorset","72","80"
"All","Dudley","70","79"
"All","Ealing","72","79"
"All","East Riding of Yorkshire","72","80"
"All","East Sussex","72","82"
"All","Enfield","69","76"
"All","Essex","73","81"
"All","Gateshead","74","82"
"All","Gloucestershire","71","80"
"All","Greenwich","75","84"
"All","Hackney","77","85"
"All","Halton","69","77"
"All","Hammersmith and Fulham","77","82"
"All","Hampshire","78","84"
"All","Haringey","73","81"
"All","Harrow","75","82"
"All","Hartlepool","71","80"
"All","Havering","72","82"
"All","Herefordshire, County of","74","84"
"All","Hertfordshire","74","82"
"All","Hillingdon","71","81"
"All","Hounslow","76","84"
"All","Isle of Wight","64","76"
"All","Isles of Scilly","!","!"
"All","Islington","71","80"
"All","Kensington and Chelsea","77","85"
"All","Kent","74","83"
"All","Kingston upon Hull, City of","68","76"
"All","Kingston upon Thames","76","84"
"All","Kirklees","68","77"
"All","Knowsley","66","77"
"All","Lambeth","75","83"
"All","Lancashire","71","79"
"All","Leeds","66","73"
"All","Leicester","67","74"
"All","Leicestershire","71","79"
"All","Lewisham","75","81"
"All","Lincolnshire","68","77"
"All","Liverpool","65","75"
"All","Luton","65","79"
"All","Manchester","67","77"
"All","Medway","73","83"
"All","Merton","75","82"
"All","Middlesbrough","63","73"
"All","Milton Keynes","71","81"
"All","Newcastle upon Tyne","72","80"
"All","Newham","76","83"
"All","Norfolk","69","78"
"All","North East Lincolnshire","66","77"
"All","North Lincolnshire","69","81"
"All","North Somerset","73","80"
"All","North Tyneside","74","82"
"All","North Yorkshire","71","79"
"All","Northamptonshire","70","78"
"All","Northumberland","76","85"
"All","Nottingham","64","74"
"All","Nottinghamshire","70","79"
"All","Oldham","64","73"
"All","Oxfordshire","73","80"
"All","Peterborough","62","74"
"All","Plymouth","66","79"
"All","Poole","75","82"
"All","Portsmouth","68","79"
"All","Reading","74","77"
"All","Redbridge","79","84"
"All","Redcar and Cleveland","73","81"
"All","Richmond upon Thames","81","87"
"All","Rochdale","67","77"
"All","Rotherham","69","77"
"All","Rutland","70","82"
"All","Salford","69","80"
"All","Sandwell","67","75"
"All","Sefton","68","78"
"All","Sheffield","68","76"
"All","Shropshire","71","78"
"All","Slough","71","82"
"All","Solihull","73","81"
"All","Somerset","72","81"
"All","South Gloucestershire","74","85"
"All","South Tyneside","74","81"
"All","Southampton","71","82"
"All","Southend-on-Sea","72","80"
"All","Southwark","74","83"
"All","St. Helens","68","78"
"All","Staffordshire","74","83"
"All","Stockport","72","78"
"All","Stockton-on-Tees","73","82"
"All","Stoke-on-Trent","67","76"
"All","Suffolk","68","78"
"All","Sunderland","71","81"
"All","Surrey","75","83"
"All","Sutton","75","85"
"All","Swindon","73","82"
