"","Boys","","Girls",""
"Ethnicity","FSM","Non FSM","FSM","Non FSM"
"All","55","74","66","82"
"Asian","63","74","75","83"
"Bangladeshi","67","73","79","82"
"Indian","69","81","82","88"
"Pakistani","61","69","72","79"
"Asian other","63","77","73","84"
"Black","67","74","75","83"
"Black African","69","75","77","84"
"Black Caribbean","62","70","71","81"
"Black other","64","72","73","81"
"Chinese","67","82","80","88"
"Mixed","60","76","71","84"
"Mixed White/Asian","62","80","73","87"
"Mixed White/Black African","64","77","74","84"
"Mixed White/Black Caribbean","55","71","69","81"
"Mixed other","62","77","72","84"
"White","52","74","63","82"
"White British","52","75","63","83"
"White Irish","43","78","58","85"
"Gypsy/Roma","25","26","37","32"
"Irish Traveller","21","28","31","46"
"White other","56","67","65","76"
"Other","56","68","65","75"
