"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","60","78"
"Asian","69","79"
"Bangladeshi","73","77"
"Indian","75","84"
"Pakistani","67","74"
"Asian other","68","80"
"Black","71","78"
"Black African","73","79"
"Black Caribbean","67","76"
"Black other","68","76"
"Chinese","72","85"
"Mixed","66","80"
"Mixed White/Asian","67","84"
"Mixed White/Black African","69","80"
"Mixed White/Black Caribbean","62","76"
"Mixed other","67","80"
"White","57","78"
"White British","57","79"
"White Irish","50","81"
"Gypsy/Roma","31","29"
"Irish Traveller","26","37"
"White other","60","71"
"Other","60","71"
"Unknown","58","58"
