"Ethnicity","Geography","%"
"All","Barking and Dagenham","75"
"All","Barnet","79"
"All","Barnsley","72"
"All","Bath and North East Somerset","78"
"All","Bedford","73"
"All","Bexley","81"
"All","Birmingham","73"
"All","Blackburn with Darwen","75"
"All","Blackpool","73"
"All","Bolton","73"
"All","Bournemouth","78"
"All","Bracknell Forest","78"
"All","Bradford","71"
"All","Brent","75"
"All","Brighton and Hove","74"
"All","Bristol, City of","73"
"All","Bromley","81"
"All","Buckinghamshire","79"
"All","Bury","73"
"All","Calderdale","71"
"All","Cambridgeshire","74"
"All","Camden","77"
"All","Central Bedfordshire","79"
"All","Cheshire East","77"
"All","Cheshire West and Chester","74"
"All","City of London","!"
"All","Cornwall","72"
"All","County Durham","76"
"All","Coventry","72"
"All","Croydon","77"
"All","Cumbria","75"
"All","Darlington","76"
"All","Derby","72"
"All","Derbyshire","76"
"All","Devon","75"
"All","Doncaster","72"
"All","Dorset","76"
"All","Dudley","74"
"All","Ealing","75"
"All","East Riding of Yorkshire","76"
"All","East Sussex","77"
"All","Enfield","73"
"All","Essex","77"
"All","Gateshead","78"
"All","Gloucestershire","75"
"All","Greenwich","79"
"All","Hackney","81"
"All","Halton","73"
"All","Hammersmith and Fulham","80"
"All","Hampshire","81"
"All","Haringey","77"
"All","Harrow","79"
"All","Hartlepool","75"
"All","Havering","77"
"All","Herefordshire, County of","79"
"All","Hertfordshire","78"
"All","Hillingdon","76"
"All","Hounslow","80"
"All","Isle of Wight","70"
"All","Isles of Scilly","!"
"All","Islington","76"
"All","Kensington and Chelsea","81"
"All","Kent","78"
"All","Kingston upon Hull, City of","72"
"All","Kingston upon Thames","80"
"All","Kirklees","72"
"All","Knowsley","71"
"All","Lambeth","79"
"All","Lancashire","75"
"All","Leeds","69"
"All","Leicester","70"
"All","Leicestershire","75"
"All","Lewisham","78"
"All","Lincolnshire","72"
"All","Liverpool","70"
"All","Luton","72"
"All","Manchester","72"
"All","Medway","78"
"All","Merton","78"
"All","Middlesbrough","68"
"All","Milton Keynes","76"
"All","Newcastle upon Tyne","76"
"All","Newham","80"
"All","Norfolk","73"
"All","North East Lincolnshire","71"
"All","North Lincolnshire","75"
"All","North Somerset","76"
"All","North Tyneside","78"
"All","North Yorkshire","75"
"All","Northamptonshire","74"
"All","Northumberland","81"
"All","Nottingham","69"
"All","Nottinghamshire","74"
"All","Oldham","69"
"All","Oxfordshire","76"
"All","Peterborough","68"
"All","Plymouth","72"
"All","Poole","78"
"All","Portsmouth","74"
"All","Reading","76"
"All","Redbridge","81"
"All","Redcar and Cleveland","77"
"All","Richmond upon Thames","84"
"All","Rochdale","72"
"All","Rotherham","73"
"All","Rutland","75"
"All","Salford","74"
"All","Sandwell","71"
"All","Sefton","73"
"All","Sheffield","72"
"All","Shropshire","74"
"All","Slough","76"
"All","Solihull","77"
"All","Somerset","77"
"All","South Gloucestershire","79"
"All","South Tyneside","77"
"All","Southampton","76"
"All","Southend-on-Sea","76"
"All","Southwark","79"
"All","St. Helens","73"
"All","Staffordshire","78"
"All","Stockport","75"
"All","Stockton-on-Tees","77"
"All","Stoke-on-Trent","72"
"All","Suffolk","73"
"All","Sunderland","76"
"All","Surrey","79"
"All","Sutton","80"
"All","Swindon","77"
"All","Tameside","73"
"All","Telford and Wrekin","76"
"All","Thurrock","77"
"All","Torbay","73"
"All","Tower Hamlets","76"
"All","Trafford","78"
"All","Wakefield","73"
"All","Walsall","73"
"All","Waltham Forest","79"
"All","Wandsworth","82"
"All","Warrington","76"
"All","Warwickshire","77"
"All","West Berkshire","78"
"All","West Sussex","75"
"All","Westminster","78"
"All","Wigan","75"
"All","Wiltshire","75"
"All","Windsor and Maidenhead","81"
"All","Wirral","73"
"All","Wokingham","81"
"All","Wolverhampton","74"
"All","Worcestershire","75"
"All","York","76"
"Asian","Barking and Dagenham","79"
"Asian","Barnet","81"
"Asian","Barnsley","73"
"Asian","Bath and North East Somerset","94"
"Asian","Bedford","71"
"Asian","Bexley","86"
"Asian","Birmingham","75"
"Asian","Blackburn with Darwen","76"
"Asian","Blackpool","78"
"Asian","Bolton","76"
"Asian","Bournemouth","81"
"Asian","Bracknell Forest","83"
"Asian","Bradford","74"
"Asian","Brent","79"
"Asian","Brighton and Hove","68"
"Asian","Bristol, City of","71"
"Asian","Bromley","88"
"Asian","Buckinghamshire","77"
"Asian","Bury","68"
"Asian","Calderdale","69"
"Asian","Cambridgeshire","80"
"Asian","Camden","76"
"Asian","Central Bedfordshire","80"
"Asian","Cheshire East","79"
"Asian","Cheshire West and Chester","76"
"Asian","City of London","!"
"Asian","Cornwall","78"
"Asian","County Durham","80"
"Asian","Coventry","78"
"Asian","Croydon","81"
"Asian","Cumbria","80"
"Asian","Darlington","83"
"Asian","Derby","73"
"Asian","Derbyshire","81"
"Asian","Devon","81"
"Asian","Doncaster","74"
"Asian","Dorset","78"
"Asian","Dudley","73"
"Asian","Ealing","79"
"Asian","East Riding of Yorkshire","86"
"Asian","East Sussex","82"
"Asian","Enfield","81"
"Asian","Essex","83"
"Asian","Gateshead","91"
"Asian","Gloucestershire","79"
"Asian","Greenwich","85"
"Asian","Hackney","87"
"Asian","Halton","50"
"Asian","Hammersmith and Fulham","85"
"Asian","Hampshire","83"
"Asian","Haringey","84"
"Asian","Harrow","83"
"Asian","Hartlepool","79"
"Asian","Havering","85"
"Asian","Herefordshire, County of","75"
"Asian","Hertfordshire","83"
"Asian","Hillingdon","81"
"Asian","Hounslow","85"
"Asian","Isle of Wight","89"
"Asian","Isles of Scilly","!"
"Asian","Islington","80"
"Asian","Kensington and Chelsea","83"
"Asian","Kent","85"
"Asian","Kingston upon Hull, City of","84"
"Asian","Kingston upon Thames","79"
"Asian","Kirklees","72"
"Asian","Knowsley","87"
"Asian","Lambeth","83"
"Asian","Lancashire","73"
"Asian","Leeds","68"
"Asian","Leicester","76"
"Asian","Leicestershire","79"
"Asian","Lewisham","78"
"Asian","Lincolnshire","88"
"Asian","Liverpool","74"
"Asian","Luton","74"
"Asian","Manchester","71"
"Asian","Medway","84"
"Asian","Merton","83"
"Asian","Middlesbrough","68"
"Asian","Milton Keynes","83"
"Asian","Newcastle upon Tyne","74"
"Asian","Newham","82"
"Asian","Norfolk","79"
"Asian","North East Lincolnshire","80"
"Asian","North Lincolnshire","90"
"Asian","North Somerset","69"
"Asian","North Tyneside","80"
"Asian","North Yorkshire","79"
"Asian","Northamptonshire","75"
"Asian","Northumberland","86"
"Asian","Nottingham","70"
"Asian","Nottinghamshire","76"
"Asian","Oldham","65"
"Asian","Oxfordshire","77"
"Asian","Peterborough","69"
"Asian","Plymouth","77"
"Asian","Poole","88"
"Asian","Portsmouth","81"
"Asian","Reading","83"
"Asian","Redbridge","86"
"Asian","Redcar and Cleveland","80"
"Asian","Richmond upon Thames","87"
"Asian","Rochdale","70"
"Asian","Rotherham","77"
"Asian","Rutland","75"
"Asian","Salford","80"
"Asian","Sandwell","75"
"Asian","Sefton","68"
"Asian","Sheffield","74"
"Asian","Shropshire","79"
"Asian","Slough","82"
"Asian","Solihull","81"
"Asian","Somerset","80"
"Asian","South Gloucestershire","90"
"Asian","South Tyneside","80"
"Asian","Southampton","78"
"Asian","Southend-on-Sea","69"
"Asian","Southwark","83"
"Asian","St. Helens","82"
"Asian","Staffordshire","76"
"Asian","Stockport","69"
"Asian","Stockton-on-Tees","75"
"Asian","Stoke-on-Trent","72"
"Asian","Suffolk","78"
"Asian","Sunderland","75"
"Asian","Surrey","79"
"Asian","Sutton","89"
"Asian","Swindon","80"
"Asian","Tameside","72"
"Asian","Telford and Wrekin","82"
"Asian","Thurrock","83"
"Asian","Torbay","73"
"Asian","Tower Hamlets","77"
"Asian","Trafford","78"
"Asian","Wakefield","75"
"Asian","Walsall","77"
"Asian","Waltham Forest","83"
"Asian","Wandsworth","78"
"Asian","Warrington","86"
"Asian","Warwickshire","82"
"Asian","West Berkshire","83"
"Asian","West Sussex","76"
"Asian","Westminster","80"
"Asian","Wigan","64"
"Asian","Wiltshire","82"
"Asian","Windsor and Maidenhead","77"
