"Gender","Ethnicity","FSM","Non FSM"
"Boys","All","55","74"
"Boys","Asian","63","74"
"Boys","Bangladeshi","67","73"
"Boys","Indian","69","81"
"Boys","Pakistani","61","69"
"Boys","Asian other","63","77"
"Boys","Black","67","74"
"Boys","Black African","69","75"
"Boys","Black Caribbean","62","70"
"Boys","Black other","64","72"
"Boys","Chinese","67","82"
"Boys","Mixed","60","76"
"Boys","Mixed White/Asian","62","80"
"Boys","Mixed White/Black African","64","77"
"Boys","Mixed White/Black Caribbean","55","71"
"Boys","Mixed other","62","77"
"Boys","White","52","74"
"Boys","White British","52","75"
"Boys","White Irish","43","78"
"Boys","Gypsy/Roma","25","26"
"Boys","Irish Traveller","21","28"
"Boys","White other","56","67"
"Boys","Other","56","68"
"Girls","All","66","82"
"Girls","Asian","75","83"
"Girls","Bangladeshi","79","82"
"Girls","Indian","82","88"
"Girls","Pakistani","72","79"
"Girls","Asian other","73","84"
"Girls","Black","75","83"
"Girls","Black African","77","84"
"Girls","Black Caribbean","71","81"
"Girls","Black other","73","81"
"Girls","Chinese","80","88"
"Girls","Mixed","71","84"
"Girls","Mixed White/Asian","73","87"
"Girls","Mixed White/Black African","74","84"
"Girls","Mixed White/Black Caribbean","69","81"
"Girls","Mixed other","72","84"
"Girls","White","63","82"
"Girls","White British","63","83"
"Girls","White Irish","58","85"
"Girls","Gypsy/Roma","37","32"
"Girls","Irish Traveller","31","46"
"Girls","White other","65","76"
"Girls","Other","65","75"
