"","2016-17","2017-18"
"Ethnicity","Average score","Average score"
"All","78.0","78.4"
"Asian","",""
"Bangladeshi","72.7","71.9"
"Chinese","75.2","80.6"
"Indian","76.0","76.7"
"Pakistani","75.2","75.0"
"Asian other","78.0","79.8"
"Black","",""
"Black African","77.3","78.4"
"Black Caribbean","77.2","74.7"
"Black other","79.8","74.7"
"Mixed","",""
"Mixed White/Asian","75.8","76.6"
"Mixed White/Black African","79.4","78.4"
"Mixed White/Black Caribbean","75.4","78.8"
"Mixed other","81.3","75.3"
"White","",""
"White British","78.2","78.6"
"White Irish","82.5","81.4"
"White Gypsy/Traveller","81.4","!"
"White other","78.7","79.5"
"Other","",""
"Arab","78.5","80.1"
"Any other","77.8","83.1"
