"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"SEN","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All SEN","3.1","2.3","4.5","4.1","3.2","5.4","2.0","1.3","3.1","10.5","10.1","11.4","4.1","3.5","5.2","3.0","2.2","4.5"
"No identified SEN","19.0","15.0","22.7","24.7","19.4","29.9","17.3","12.2","21.9","49.1","43.2","54.3","21.2","17.6","24.6","17.9","14.2","21.4"
"SEN Support","3.9","2.9","5.4","4.9","3.8","6.5","2.4","1.6","3.5","15.1","15.4","14.7","5.1","4.3","6.2","3.8","2.8","5.4"
"SEN with a statement or EHC plan","1.0","0.9","1.1","1.8","1.8","1.7","0.8","0.7","1.1","2.1","2.7","0.0","1.4","1.7","0.8","0.9","0.8","1.1"
