"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Religious character","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All state-funded mainstream schools","17.0","13.1","21.0","22.9","17.8","28.3","15.4","10.5","20.2","47.0","40.7","52.7","19.2","15.6","22.8","16.0","12.3","19.8"
"Church of England schools","17.9","14.8","21.0","26.0","23.3","29.3","14.9","9.8","19.3","52.9","52.3","53.5","19.4","18.4","20.2","17.0","13.8","20.2"
"Hindu schools","33.6","35.1","32.0","35.1","37.7","31.8","0.0","N/A","0.0","N/A","N/A","N/A","40.0","0.0","100.0","0.0","0.0","0.0"
"Jewish schools","36.1","35.0","37.0","45.7","40.9","50.0","20.7","12.5","30.8","0.0","0.0","N/A","22.2","25.0","20.0","33.5","30.9","35.3"
"Muslim schools","40.3","30.3","44.1","41.5","31.1","45.4","34.3","33.3","34.7","N/A","N/A","N/A","22.2","0.0","40.0","100.0","N/A","100.0"
"No religious character","16.5","12.6","20.5","22.0","17.0","27.2","14.8","10.4","19.2","46.5","38.4","53.6","18.8","14.9","22.7","15.5","11.8","19.3"
"Other Christian faith schools","22.9","20.7","25.4","42.8","37.0","50.3","15.3","11.1","21.2","58.0","63.6","48.0","33.2","33.5","32.8","20.2","18.2","22.3"
"Roman Catholic schools","19.2","14.4","23.7","22.5","16.0","29.7","17.8","10.6","23.6","41.4","39.7","43.1","19.5","15.2","23.2","18.7","14.5","22.8"
"Sikh schools","35.4","30.7","40.2","34.6","30.6","38.8","25.0","N/A","25.0","0.0","0.0","N/A","31.6","25.0","36.4","50.0","0.0","100.0"
